unknown,postcode,city,country,postcode,city,country,house_number,house_number,unknown,unknown
LEV03019,6920 ND,UTRECHT,,7941 HE,,NL,87,4,1000.0,SRNED001
LEV02584,7547 BJ,VOORHOUT,NL,2718 SK,,,36 A4,3,1000.0,PORTO001
STICH061,7231 DM,LEEK,NL,4909 BS,ROOSENDAAL,NL,715,25,,SAIAB001
KWAST001,7900 AC,STELLENDAM,NL,4003 HD,OSS,NL,19,15,1000.0,KOUD0001
UTREC001,6941 DL,HENGELO,NL,7231 PG,,NL,25,67,1000.0,MERSE002
LEV01235,7202 BX,BAARLE-NASSAU,NL,2984 BM,HETEREN,NL,4a,1,1000.0,LEV04227
LEV03922,5600 PB,MAASTRICHT,NL,5324 CC,,NL,119,1,1000.0,TRUBE001
RTPRO001,3600 BA,ROTTERDAM,NL,3440 AK,VOLENDAM,NL,,56,1000.0,TOLXX001
LEV04183,7550 AP,ALBLASSERDAM,NL,4243 JR,SOESTERBERG,NL,33,52a,1000.0,ASSIN001
ARNHE004,8651 EG,BARENDRECHT,NL,2061 GX,SCHIPHOL-RIJK,NL,42,2033,,KOENE001
SAFEB001,1446 TT,ELSLOO,NL,,BODEGRAVEN,NL,116a,5,1000.0,LEV00564
BORKX001,3068 AX,BREDA,NL,8051 CN,S HERTOGENBOSCH,NL,800,14,,POWER007
BOERT001,6130 AA,VEENENDAAL,NL,3439 LD,HANK,NL,68,270,1000.0,SPECT005
@XITX001,1627 LH,UTRECHT,NL,5683 CV,RIJSWIJK,NL,91001,25-27,1000.0,TENNA001
BOUWM007,2990 AC,AMERSFOORT,NL,1931 AK,GORINCHEM,,,7,,TRAFF009
LEV04192,2624 ES,APELDOORN,NL,,ALPHEN AAN DEN RIJN,NL,18,,1000.0,FORTU003
LUCAS001,6713 HN,SLIEDRECHT,NL,,DOETINCHEM,NL,14,105,,BAMXX010
LEV02832,3513 BC,EGMOND AAN ZEE,,,DORDRECHT,NL,37,42,1000.0,OSKAM003
ALLDO001,7482 KV,UTRECHT,NL,7201 NK,ZWIJNDRECHT,NL,,,1000.0,GITPT001
SPOOR023,3506 GA,MAASTRICHT,,3077 AL,OISTERWIJK,NL,50,,1000.0,POWER009
VEGAX002,9363 GK,DELFT,NL,,EDE,NL,73,,,APPLI003
PAMPU001,7000 AC,COEVORDEN,NL,5431 SL,WIJK BIJ DUURSTEDE,NL,,391,1000.0,HULSH004
HOLTH002,2500 BB,Zwanenburg,NL,3565 AV,OPHEMERT,NL,3,,1000.0,LEV00783
LEV04212,7602 PJ,UDEN,,7400 GA,UTRECHT,,665,2,1000.0,
BETAG002,5803 AN,NIEUWEGEIN,NL,3334 KC,VIANEN,NL,69,12,1000.0,GANSE001
TAONR001,2509 GH,HAAKSBERGEN,NL,,ROTTERDAM,,8a,28,1000.0,WITTU001
MULLE003,6021 RE,ROTTERDAM,NL,4251 LN,HEERENVEEN,NL,16004,37,1000.0,LEV03327
LEV00124,7773 NP,OUDENBOSCH,,2497 BV,ROTTERDAM,NL,17,1,1000.0,LEV04171
LIAND003,5581 WG,DORDRECHT,,,,NL,,2896,1000.0,LEV03256
LEV00268,6800 AD,GRONINGEN,NL,3533 JB,GORINCHEM,NL,103-105,21,,BOELS032
PBNSP001,7201 CA,GORINCHEM,NL,1422 ND,UTRECHT,,1,Rood15,1000.0,SAVAL001
ROTTE016,3542 DA,ROSMALEN,NL,,AMSTERDAM,NL,,,,DEFAC001
DESKB001,7301 BH,HENGELO,NL,3084 CB,VOERENDAAL,NL,4-Oct,18,1000.0,SIGNP001
BLOKH001,2260 AD,s-Hertogenbosch,NL,3542 DA,,NL,11,8A,1000.0,LEV00082
BERGS005,5241 AA,WESTBROEK,NL,3958 ZV,,NL,2206,666,,HERST001
PRODR001,3830 AA,AMERSFOORT,NL,5633 AC,ALMERE,NL,69,10,,LEV04093
BENDE001,1402 LB,CAPELLE AAN DEN IJSSEL,NL,3439 LD,ROGAT,NL,820,2,1000.0,LASSC001
LEV02661,8490 AA,BODEGRAVEN,NL,5216 TV,TWELLO,,,85,1000.0,LEV04116
HEALT002,3830 AB,ALMERE,NL,7556 NC,TIEL,NL,5,,,VELDE001
INSPE002,8239 DL,UTRECHT,NL,2991 LH,NIEUWEGEIN,NL,28,2,,LEV03971
LEV01316,4834 ED,ZEVERNAAR,NL,6974 RH,DEN HAAG,NL,603A,64,,WAALX003
CENTR029,1066 EN,ZEVENAAR,NL,7671 SB,,NL,,,1000.0,LEV03604
BUURT002,6419 DJ,OSS,NL,5731 HR,ALKMAAR,NL,10,10,1000.0,OOSTE001
SIQUR001,3142 AB,Beek en Donk,,1017 CJ,BORN,NL,,,1000.0,SLURI001
BEEKM001,7570 AJ,EINDHOVEN,NL,1191 EA,,,16,9,1000.0,ENEXI008
RECOX003,9718 AW,ARNHEM,NL,4891 CK,HEERHUGOWAARD,NL,4,,1000.0,SCHAN004
LINDE005,3316 GL,UTRECHT,NL,6229 PM,ALPHEN AAN DEN RIJN,NL,3082,4,,STICH037
SITAX010,7940 KB,MAARSSEN,NL,5363 SZ,ZALTBOMMEL,NL,40200,33,,LEV03062
LAARH001,7555 DL,DORDRECHT,NL,9761 AE,BEST,NL,9107,45-45A,1000.0,LEV04012
LEV03487,2991 LE,ALMERE,,4878 AM,ALKMAAR,,6,1,,TURCK001
3MCMA001,7772 TV,ZALTBOMMEL,NL,3947 BJ,,NL,134,44,1000.0,HAMXX003
AVENT001,3565 BL,BAARN,NL,4131 NM,BUNNIK,NL,46,17,,HELUK001
VOLKE044,4731 TA,OUDEWATER,NL,,HETEREN,NL,596,18,1000.0,EPOWE001
SRSHO001,9791 AB,BEST,,,,NL,10,7,1000.0,IPSLX001
CABLE008,3800 GK,DELFT,,...,AMSTERDAM,NL,198C,4A,1000.0,INTER005
CONRA004,2627 AN,BARENDRECHT,NL,2921 LP,S-HERTOGENBOSCH,NL,211a,21-30,1000.0,TRAME001
SALDE001,7443 LV,KOUDEKERK AAN DEN RIJN,NL,5004 EA,DELFT,NL,14,,,BAKKE002
CAPTR001,6545 CA,Nijverdal,NL,7645 AD,,NL,100,,1000.0,LEV00695
ELSPE001,3500 GD,ROTTERDAM,NL,6361 BH,,NL,28,99,,SONIC001
TETER002,D-10553,DELFT,NL,,HENGELO,NL,43074,16,1000.0,FABOR014
PUTTE009,1005 AG,AMSTERDAM,NL,2595 BN,EEMNES,,,80,1000.0,STORK022
LETTE001,3500 GA,Hengelo,NL,7483 PD,VEENENDAAL,NL,2,40A,,NAUSX001
EUROR003,5151 AE,IJSSELSTEIN,NL,2404 CD,ARNHEM,NL,190,15,1000.0,ABCNO001
4INFR001,3334 KB,ALBLASSERDAM,NL,9206 AJ,Utrecht,NL,297,15,1000.0,ALBER003
BIESH005,7500 DH,RIDDERKERK,NL,4191 GW,OLDENZAAL,NL,3710,25,1000.0,SVRIX001
INTER045,2600 AL,VELDHOVEN,NL,,LEERDAM,NL,2,,1000.0,LEV03927
123EN001,1030 AA,BUSSUM,NL,,VROOMSHOOP,NL,179,,1000.0,BILDE003
LIGHT004,7317 BD,ZEGVELD,NL,6039 ZG,,NL,30,,1000.0,GEONE002
LEV00440,2700 AH,Maarssen,NL,5916 PJ,BAARLE-NASSAU,NL,198,5,1000.0,HEIJM024
LEV00160,,DRACHTEN,NL,7731 SM,NIJKERK,NL,665,38,1000.0,DAMEN004
LEV04085,6710 BD,BREDA,,5340 AC,ALKMAAR,,125,322,1000.0,DORPX002
XEROX002,4247 EX,TILLIGTE,,3313 CS,,NL,470,319,1000.0,POELX003
PONTM002,3512 HB,MAARSSEN,NL,,,NL,,30-32,,
THEJO001,6920 AB,Papendrecht,NL,,,NL,2759,3a,,MSEME001
APPEL006,3047 BG,BIERUM,NL,3085 KM,RUURLO,NL,6095,10,1000.0,LEV04055
KOREN004,3271 VH,HEDEL,NL,4131 PD,HARDERWIJK,NL,17a,6,1000.0,SWART006
LEV03569,9470 AD,GOUDA,NL,8938 BB,ZWAAG,NL,,,1000.0,FILOF001
ZEVEN001,3341 LJ,HEERJANSDAM,NL,3542 DA,AMERSFOORT,NL,61,108,1000.0,ELJES002
FABOR022,6135 KW,MAARSSEN,NL,,Wormerveer,NL,2112,2,1000.0,KWSIN006
VENRO001,3084 CA,ERMELO,NL,,DORDRECHT,NL,71,3,1000.0,BITTE001
BIJLS001,8260 AA,VOORST,NL,3330 AC,LEIDSCHENDAM,NL,126,304,1000.0,VALKX001
SVORA001,9936 HT,NIEUWEGEIN,NL,1693 CV,BARENDRECHT,,59,322,,R-VEN001
TECCA001,8161 CA,BALKBRUG,NL,8013 RA,,NL,332,93,1000.0,YNTEM001
AMORI001,5050 AA,WIJHE,NL,7951 PJ,ZWOLLE,NL,19,9,1000.0,EMPEL002
LEV03818,7740 AC,GRONINGEN,NL,2289 BA,,NL,19a,,,CEGEK001
LANGE008,3903 LV,HARMELEN,,5321 VB,RIJSWIJK,NL,,1a,,EATON001
EDILO002,7547 ST,HAAKSBERGEN,NL,3542 EE,HOODDORP,NL,1025,20,,APPEL006
VIHAM001,1070 KB,MAASBRACHT,,,BERKEL EN RODENRIJS,NL,2,3a,1000.0,VEGAX001
LEV04214,2741 PG,SITTARD,NL,2031 CC,NUMANSDORP,NL,888,3124,1000.0,LEV04202
SPECT006,5993 NZ,MARIËNBERG,NL,,HAAKSBERGEN,NL,,2,1000.0,OSKAR001
VOSKA005,5500 AK,PURMEREND,NL,3011 ZC,MIJDRECHT,NL,3021,184,1000.0,CARGO003
PAREE001,7007 CD,DOORWERTH,NL,4762 AH,APELDOORN,,239,38,1000.0,TASUR002
RECYC006,7550 GD,HEERENVEEN,NL,3821 BL,,NL,31,2,,LEV04235
RAILP002,1800 BK,APELDOORN,NL,3364 DL,HAPERT,,,18-20,1000.0,GATEW001
WESEM001,3542 AB,ZAANDAM,NL,,,NL,10,15a,1000.0,ODSXX003
LEV03043,4200 AS,OUD-BEIJERLAND,,3772 MN,RHENEN,NL,137,2,1000.0,INTER026
RAABX002,7547 ST,MOORDRECHT,NL,,,NL,103 b-c,,1000.0,ECONO004
CENTI001,7949 AJ,HANK,NL,3602 AL,AALTEN,NL,35,31,1000.0,LEV04172
RADIO001,1521 PV,ZEVENAAR,NL,4051 CV,,NL,115,44,1000.0,ECONO003
LEV03852,3198 LS,Diemen,NL,2809 PG,,,406,61,1000.0,ETSXX001
LEV04000,3502 KA,AMERSFOORT,NL,4530 GC,,,,,1000.0,TALEN008
LASTE001,2586 BJ,BEVERWIJK,NL,6825 MC,BREDA,NL,2642,,1000.0,PLUSP001
INTRO005,8532 CC,VENLO,NL,3846 CA,,NL,,1,1000.0,TRUMP001
HOOGE021,9723 BK,LEUSDEN,,4880 AA,HARDERWIJK,NL,37,6,1000.0,LEV00734
COLOU002,5000 AL,ZWIJNDRECHT,,,ROTTERDAM,NL,36-38,402,1000.0,HARTE011
FRANS002,2495 AA,CUIJK,NL,,BREUKELEN,NL,,29,1000.0,KNOBB001
POWER008,3300 AK,DORDRECHT,,3076 BA,UTRECHT,NL,,110,1000.0,TECCA001
VOSSL006,2600 JA,ENSCHEDE,NL,1648 HG,ZUTPHEN,NL,3,,1000.0,HTIBV001
STORK027,3600 BA,BELFELD,NL,3334 LA,HEEMSKERK,NL,980,259,1000.0,FRIES002
BOERX014,5633 AA,OSS,,2771 EN,,NL,,4,1000.0,POWET001
WAGON002,1742 NL,HARMELEN,NL,,RIJSBERGEN,NL,32,1,1000.0,GROEN021
VIODX001,2986 XC,KRIMPEN AAN DE IJSSEL,,1411 AM,,,400,717,1000.0,LEV03877
BAKKE027,5681 RZ,SITTARD,NL,4235 VV,AMSTERDAM,NL,40210,25 D,,LEV00581
MOKKE001,2801 DG,ZWIJNDRECHT,NL,,BREDA,NL,26,1,1000.0,WORKX006
LEV04112,3480 DB,BARENDRECHT,NL,2984 AM,AMMERZODEN,NL,55268,,1000.0,DUTCH005
SCHAN004,2909 LE,VORSTENBOSCH,NL,3261 NB,MIERLO,NL,,45,1000.0,BAAKX001
TIMSH001,1399 EP,DEDEMSVAART,NL,3606 AZ,,,122,162,1000.0,INTEG001
OSKAM001,2701 AE,OLDENZAAL,NL,8013 PM,,NL,191,103-105,1000.0,GROMA002
HSTEC001,2500 CJ,AMSTERDAM,,,AMERSFOORT,NL,14,11,1000.0,RECOR001
SENSO004,5371 MK,Amersfoort,NL,,OSS,NL,2136,7,1000.0,BUKOX003
POPCO001,7609 PK,ARNHEM,NL,6374 BW,,NL,,101,1000.0,ERIKS002
BREDE001,1812,TER AAR,NL,1812 PD,,NL,,6,1000.0,CSOPL001
LEV04070,8011 CA,MAARSSEN,NL,6161 BZ,AMSTERDAM,NL,225,6A,1000.0,LEV01829
ETELE001,7336 AS,S-HERTOGENBOSCH,NL,,RAALTE,NL,,42A,,DENKP001
SMEEK002,4050 EB,ZWIJNDRECHT,NL,7383 AV,ALMELO,NL,1,,1000.0,LEV03866
ZUIVE002,3800 GB,ROOSENDAAL,NL,3077 CH,HEERJANSDAM,NL,,6,1000.0,BOUWH005
MAMMO010,8181 PS,ROTTERDAM,NL,2132 PZ,SCHIPHOL-RIJK,,,,1000.0,TWINT001
DRONK004,3828 CD,AMSTERDAM,,1099 BB,,NL,721,384,1000.0,ALOMX001
LEV03571,6503 GC,LIMBRICHT,NL,3316 KA,HEERENVEEN,NL,33J,34,1000.0,LEV00093
BRUGG001,4130 EE,UTRECHT,,7131 PC,CULEMBORG,NL,362,2,1000.0,LEV03287
MAINC001,3047 BG,NAARDEN,,4704 RS,WIERDEN,NL,70,94,1000.0,VOLKE002
INGXX002,3600 BM,ROTTERDAM,NL,3316 BL,NIEUW LAND,NL,14,,,FILIP003
ECONO003,7300 AE,ARNHEM,NL,8181 PS,HEERENVEEN,NL,224,30,1000.0,LEV04169
HIMAX001,5657 DH,BEVERWIJK,NL,,ROTTERDAM,NL,50,16,1000.0,LEV02408
BLUEL001,,WADDINXVEEN,NL,6135 KR,VIANEN,NL,75-5,75,1000.0,FAMEP001
LEV04235,3600 BA,Rotterdam,NL,3439 LD,KOLLUM,NL,14,7-F,,LEV04218
LEV04063,2132 WS,DELFT,NL,1161 CK,VENLO,,59,,1000.0,
KEIJB001,4271 CZ,VENLO,NL,9745 EM,NIJMEGEN,NL,55,2038,1000.0,HWSXX001
EUROH002,8013 PK,BREDA,NL,7418 EE,VELDHOVEN,,1025,15,1000.0,ELOME002
LEV04190,8013 RL,ZUTPHEN,,7201 CE,LOPIKERKAPEL,NL,12a,15,1000.0,NEDKU001
ALMAR001,9866 AG,Best,NL,5211 TW,GRONSVELD,NL,135,101,,GERRI014
LEV04118,3860 AD,S-GRAVENHAGE,NL,3336 LP,ZEIST,NL,33,,1000.0,LEV00386
VOLKE032,6136 KV,WESTERVOORT,NL,4251 ZN,NIJMEGEN,NL,8,93,1000.0,WAVER001
BOUWM005,6990 AA,WEERT,NL,2421 LM,S-GRAVENHAGE,NL,10,3,1000.0,MEERX006
SCHOE011,2411 ND,BEMMEL,NL,,ZWOLLE,NL,17,,1000.0,LEV04209
KLUWE003,3992 AG,DORDRECHT,NL,2991 LR,ELSLOO,,7,191,,COFEL002
BOERK003,5680 AC,DEVENTER,,1241 BV,DRACHTEN,NL,,,1000.0,HAANX005
ROSEB001,2810 AC,DORDRECHT,NL,,ROTTERDAM,,22,28,1000.0,INTER036
LIFTA001,5300 AA,FRANKFURT AM MAIN,,9679 TM,KRIMPEN AAN DEN IJSSEL,NL,,15,1000.0,LEV04156
P4ECO001,6666 LW,HOUTEN,NL,5018 AA,,NL,192,80,1000.0,BOSXX013
MEESX001,2130 AJ,ROTTERDAM,NL,3542 DA,,NL,18643,6,1000.0,SCHIP001
PANTA001,3319 LA,HAARLEM,NL,5249 JW,UTRECHT,NL,3,,1000.0,LEV03991
OOSTE032,3417 XS,AMSTERDAM,NL,3905 TD,ZWOLLE,NL,134,8,1000.0,MOLLE001
BRINK021,4800 CB,CAPELLE AAN DEN IJSSEL,NL,,UTRECHT,NL,,51,1000.0,SREQX001
BRINK019,1099 BB,Utrecht,NL,9718 AW,,,40,120,1000.0,Blokkade
WEESX001,5349 AT,LELYSTAD,NL,,,NL,,,1000.0,VERAC001
ALSTO001,3350 AA,ROTTERDAM,NL,1213 BK,ZUIDBROEK,NL,7095,,1000.0,AEREA001
ELEKT012,7670 AD,TWELLO,NL,2901 AV,AMSTERDAM,NL,,10,1000.0,PIRTE014
LEV03820,7556 BP,WAALWIJK,NL,1405 AE,AMERSFOORT,NL,1025,15,1000.0,ENEXI010
LIGHT001,3620 AC,ZUTPHEN,,6141 BA,UTRECHT,NL,4c,16-18,1000.0,BRUGG004
MD2WX001,3009 TJ,HEERENVEEN,NL,3861 MA,SCHIEDAM,NL,54,8,1000.0,IGUSX001
KOOIK002,4016 DC,TERNEUZEN,NL,,SUSTEREN,NL,75696,89,1000.0,KOOPM010
LEV03034,2800 AM,BERGSCHENHOEK,NL,2512 RR,,NL,148a,7,1000.0,ALSTO009
LYREC003,5430 AB,DEVENTER,NL,3542 DA,AMSTERDAM,NL,74,3139,1000.0,JANSS032
VISSE037,4700 BN,APELDOORN,NL,5961 PV,WORMERVEER,NL,2,,,BOOMG001
BOELS058,8938 BJ,HENGELO,,,,NL,12,,,DRIEL003
KONEC002,7418 EE,VUGHT,NL,3351 ED,NIJKERK,NL,6,101,,PIJNE001
IPMAC001,6716 WC,BARENDRECHT,NL,8447 GN,AMERSFOORT,,161,33,1000.0,BEKKU003
LEV04065,8900 AC,MUIDERBERG,NL,5232 AC,BROEKLAND,NL,39,270,1000.0,ZIEDI001
SILVE003,2504 LK,ALKMAAR,NL,1216 TK,WINSCHOTEN,,,241,1000.0,SCHEE003
LEV03885,4251 XG,WEESP,,7007 CM,COEVORDEN,NL,30,12,,KLUCK001
VERHE002,7547 ST,BREUKELEN,NL,5654 NC,HOOGEZAND,,17,15,1000.0,CONDO001
DIRIX001,2396 AP,UDENHOUT,NL,9363 GK,BREDA,NL,4,50,,ACCUX003
QUALI008,3198 LS,ZUTPHEN,NL,8471 XE,,CH,4,7a,1000.0,MULLE003
EASY2001,6221 SE,ALPHEN A/D RIJN,NL,4761 RZ,WEERT,NL,73,,1000.0,LEMME003
ENEXI003,2980 AG,ARNHEM,NL,1422 ND,KRIMPEN AAN DEN IJSSEL,NL,,90,1000.0,CENTR031
LEV03265,5680 AC,BERGENTHEIM,NL,5961 PV,DELFT,NL,125,243,1000.0,LEV02950
KNOBB001,5708 HN,MAARSSEN,NL,7522 NB,HOOFDDORP,,27,22,1000.0,ATOPX001
CHAME001,7131 PC,ROTTERDAM,NL,,,NL,19,1,1000.0,ESZET001
FUNKW001,3600 BA,MAARSSEN,NL,3442 AE,UTRECHT,NL,,2,1000.0,
DRILL001,3330 CC,LUTJEGAST,NL,6464 CZ,SNEEK,NL,252,186,1000.0,MOKKE001
ELZIN001,8325 EZ,SCHIPHOL-RIJK,NL,8271 RW,APELDOORN,NL,1,41,1000.0,FABOR001
SHUNT003,9200 AL,AMSTERDAM,NL,3341 LT,,NL,167,,1000.0,LEV03624
WORKX009,3600 BD,VARSSEVELD,NL,3542 DE,EMMELOORD,NL,40,88,1000.0,HOGES001
ERIKS002,3980 CB,BUNNIK,NL,1161 TN,,NL,,27,1000.0,DATAS001
LEV00515,9936 HX,ROTTERDAM,,1046 BD,,NL,16,21,1000.0,LUINS001
LEV03834,3350 CD,PURMEREND,NL,6666 LS,MAARSSEN,NL,,15-17,,BBTEC001
GROEN028,6245 LL,AMSTERDAM,NL,2807 CC,BREDA,NL,95A,26,,CANAD001
ACSXX001,6191 NL,HOUTEN,NL,,,NL,12,20,1000.0,BIARD001
ESTON001,5600 CH,UTRECHT,NL,2181 AB,SITTARD,NL,,100,1000.0,HOLMA002
ZFNEX001,2994 LE,BERGSCHENHOEK,NL,7443 LV,SITTARD,NL,,6,1000.0,LEV04153
SERSA002,.,ZWIJNDRECHT,NL,3526 AB, LOENEN GLD,NL,28,297,1000.0,PROCO001
ARTCO001,3437 JS,MALDEN,,3882 TR,DELFT,NL,3,916,,LEV01858
UNITE005,2201 CN,WADDINXVEEN,NL,2064 XL,ROOSENDAAL,NL,1025,7,1000.0,LEV04230
VISSE011,7227 DE,LEXMOND,,,OISTERWIJK,NL,39a,16,1000.0,MANUT001
GUNNE001,6825 MV,ROSMALEN,NL,4241 WJ,UTRECHT,NL,88,87,1000.0,DIRIX001
LEV03605,5580 AB,MEPPEL,NL,1812 RL,,NL,476,21-23,1000.0,LEV03610
LEV03261,8024 XR,HENGELO,NL,8096 RR,,NL,8069,159,1000.0,HAAXM001
COOLB001,2600 JA,NOORDELOOS,,7556 AG,STEENBERGEN,NL,29,6,1000.0,JANSS017
ELAUM001,1976 CX,Schiphol-Airport,NL,2691 GZ,NIJMEGEN,NL,49,143,1000.0,
LEV03204,6030 AA,CULEMBORG,NL,7552 AP,IJMUIDEN,NL,64,,1000.0,HOLLA001
VOSXX028,1381 AX,SON,NL,,AALSMEER,NL,1A,347-353,,LEV04207
LEV00955,2984 CE,UTRECHT,NL,7766 AA,NIJMEGEN,NL,,9,1000.0,WORKS001
KOENE001,3600 BA,NIJMEGEN,NL,2400 CA,MAASTRICHT,NL,1025,6A,,KEYTE001
SOEST004,7400 AG,UTRECHT,NL,3331 ML,HENGELO,NL,36,7,1000.0,LEV00064
WILCH001,4891 CK,BREDA,NL,,,NL,230,,1000.0,
WAALX008,4905 BH,ALPHEN A/D RIJN,NL,7678 AJ,PAASLOO,NL,18,57,1000.0,GEOTO001
BOELS050,7570 AA,IRNSUM,NL,8275 AE,HOUTEN,NL,340,7,1000.0,RECYC006
EGMON001,6030 AD,ELBURG,NL,,,NL,125,34B,1000.0,VIERP001
HILTI001,6800 AE,ZIERIKZEE,NL,,HOUTEN,NL,53,15,,LEV04152
BTLRE001,3281 LB,UTRECHT,NL,,OISTERWIJK,NL,,,1000.0,VIODX001
CHEXX001,7683 AW,AMMERZODEN,NL,7903 BH,,,280,131,,INDUS006
KAMPA001,4817 BL,GOES,NL,,ZIERIKZEE,NL,58,,1000.0,LEEMA002
NAUSX001,5384 VT,LOCHEM,NL,1046 AA,DENEKAMP,NL,,4,1000.0,G4SFI001
QSIGH001,9761 AE,Almere,NL,,LEEUWARDEN,NL,27,148b,,VOSKA002
LEV03495,7681 AA,HENGELO,NL,8903 KB,DEN HELDER,NL,67013,115,1000.0,APACX001
SRKAB001,2352 CZ,AMSTERDAM,,2627 BD,SITTARD,NL,31,125,1000.0,SROOS001
LEV03807,7050 AD,Heerlen,NL,2132 LS,VUGHT,NL,,11,1000.0,PALLE001
PROPE002,4780 LA,DORDRECHT,NL,8171 MC,,NL,20a,16,1000.0,AKKER004
LEV03801,7550 AT,APELDOORN,NL,3044 ER,HAAKSBERGEN,NL,,,,SIEME002
SETON001,3555 HA,AMSTERDAM,NL,6921 RC,REEUWIJK,,1025,34,1000.0,LEV02065
DICTA001,3992 LL,Vianen,NL,1446 WV,CAPELLE A/D IJSSEL,NL,8012,11,1000.0,PLAN4001
VISOT001,2900 EA,UTRECHT,NL,6916 LG,BONN,,9,12,,ROWIJ001
LOVIN001,4191 ZS,ASSEN,NL,6160 AA,BREDA,NL,183,37 C,1000.0,LEV03324
HIGTR001,3508 AG,HATTEM,,2215 TL,AMSTERDAM,NL,429,,,KAEFE001
MOORE001,2583 DL,EDE,,1946 RG,ELSLOO,NL,184,,,LEV03895
LEV00291,2130 EK,MAARSSEN,NL,,UTRECHT,NL,72,4,1000.0,LEV03356
SMEBA002,7680 AC,Denekamp,NL,4191 GW,HEERLEN,NL,2079,23,1000.0,VOLKE025
SAFET008,7420 AE,DORDRECHT,,3621 BG,NIJVERDAL,NL,70,21,,LEV03487
TWOBX001,3084 CB,EINDHOVEN,NL,8024 HA,ROTTERDAM,NL,180,21,1000.0,LEV04100
FERRY002,8011 AD,ASSEN,,,,NL,1695,38,1000.0,KTRBE001
LEV03741,7332 AS,ROTTERDAM,NL,3544 DG,DUIVENDRECHT,NL,129,28,1000.0,BAMXX073
LEV00528,8651 ER,DEN BOSCH,NL,3474 JD,,,12,2,1000.0,SPITX001
JFKPR001,3720 AD,WADDINXVEEN,,,UTRECHT,NL,90,23g,1000.0,PROTE007
LEV03582,3762 EC,ROERMOND,NL,1112 VE,ZWOLLE,NL,3087,240,,LEEGT001
BRAND018,1704 RH,ALMERE,NL,,HAARLEM,NL,101,332,1000.0,SYSTE004
ELEKT004,1609 GA,Utrecht,NL,3133 KK,HEESCH,NL,22015,,1000.0,SEARC003
PIRTE009,7040 AD,HENGELO,NL,5462 GH,UTRECHT,NL,61,105,1000.0,METRI001
1900,8000 AG,AMSTERDAM,NL,3992 LL,,NL,69,,1000.0,ERIKS001
BOERD003,2950 AB,BERKEL EN RODENRIJS,NL,9723 TN,,NL,166,176,1000.0,NOTEB002
LEV02960,6677 PS,HELVOIRT,NL,5232 CE,HAAKSBERGEN,,81,6,1000.0,INSTI002
STRIN001,3315 AR,ROTTERDAM,NL,3542 AW,ROTTERDAM,NL,106,,1000.0,MOUSE001
TALEN007,2984 AN,Almelo,NL,2491 AP,,,136 C,14,,LEV00689
HYDRO006,3760 AA,AMSTERDAM,NL,6135 KV,OLDENZAAL,NL,3,25,,EISOB001
INTER061,4906 JB,OUDERKERK A/D AMSTEL,NL,9723 AX,WOERDEN,NL,349,3,1000.0,PICAX001
INPIJ001,4761 RM,SUSTEREN,NL,4818 EL,,NL,14 a-1,76,1000.0,MOKRU001
CUMMI001,6063 BA,ZWOLLE,NL,7241 CW,HAARLEM,,,9,,UTSXX004
NEBIM004,9700 AP,ZWOLLE,NL,3312 SJ,AMSTERDAM,NL,551,10,1000.0,LEV03261
ZINCO001,5070 AA,HARDERWIJK,NL,3089 JD,,NL,15,,1000.0,TRAFF007
LASAU004,5061 KG,BEST,NL,4660 AC,ITTERVOORT,NL,60 3/4,7,,MUNST004
WIRIT001,5211 AM,RIDDERKERK,NL,,TERNEUZEN,NL,2,,,LEV03508
LEV03368,3024 ES,ALMELO,,2404 HA,OISTERWIJK,NL,24,,,LEV03235
MULTI020,6367 AZ,MAASTRICHT,,6545 AC,,NL,406,73,1000.0,BOELS048
NIEMA003,3813 DL,UDEN,NL,3542 DA,BEMMEL,NL,1025,2,1000.0,BUROZ001
REGOO001,3364 AG,NIEUWEGEIN,NL,,AMSTERDAM,NL,,131,1000.0,HAJOT001
MUNST004,7940 KB,AMSTERDAM,NL,5232 BE,UTRECHT,,2,11a,1000.0,BRAND019
LEV00351,2982 SN,BEVERWIJK,NL,5476 KX,HOOFDDORP,NL,66,3,,ELEKT012
URCON001,4800 CE,HENGELO,NL,,RIDDERKERK,NL,577,160,1000.0,OBSER002
CIRCL001,2628 CN,Dokkum,NL,3433 PE,,NL,104,27,1000.0,
LEV04020,7064 LK,TILBURG,,3818 HP,HENGELO,NL,1,36-38,1000.0,MANNT001
LEV00164,1018 AH,BERKENWOUDE,NL,7707 PD,S HEERENHOEK,NL,64A,,1000.0,STEGE003
CAMPS002,6644 DZ,SCHOONREWOERD,NL,4145 NR,STEIN,NL,63,,1000.0,ALSEM002
LASAU007,8440 AN,DRIEBERGEN,NL,6812 AR,SUSTEREN,NL,5-Jan,301,1000.0,LEV01249
TRAFA001,8440 AN,HEEMSKERK,,3194 DA,RIDDERKERK,,49,23a,1000.0,BOELS037
EXCEL001,2280 CA,ZWIJNDRECHT,NL,6531 JC,DELFGAUW,NL,85280,4,1000.0,CHEXX001
LEV00170,3737 AL,DORDRECHT,NL,,NIJMEGEN,NL,33,2,1000.0,VOSXX017
NIHOX001,1013 HP,TERSCHUUR,NL,,AMSTERDAM,NL,205,66,1000.0,HAVEX001
