house_number,city,postcode,country,country,country,unknown,telephone_nr,unknown,unknown,unknown,unknown,legal_type,postcode,city,house_number,postcode,city,country,telephone_nr,telephone_nr,gender,sbi_code,sbi_code,sbi_code,sbi_description,sbi_description,sbi_description,unknown,date,date,date,date
4F,BERGEN OP ZOOM,EC2A 4AT,BQ,NEDERLAND,NL - NEDERLAND,,020-5565000,NIET MEER GEBRUIKEN,,ARC,Klant,Buitenlandse op EG-vennootschap lijkende vennootschap met onderneming in Nederland,6416SG,AMSTELVEEN,2.0,4140AG,AMSTERDAM,NLD,030  2459746,,m,85312.0,,,Algemene burgerlijke en utiliteitsbouw,,,3.0,27-5-2013,,,1-1-2006
102,LINCOLNSHIRE,6211 TE,NL,NEDERLAND,NL - NEDERLAND,,035-5482511,Bedrijven: Klein <100,770 - Partners / dealers,CUP,Partner,Besloten Vennootschap met gewone structuur,4101GK,'S-GRAVENHAGE,,3072AR,ROTTERDAM,NLD,071  5273155,,m,94991.0,,,Thuiszorg,,,4.0,10-5-2010,9-5-2014,,1-1-2008
90,ROTTERDAM,3072 AR,NL,NEDERLAND,NL - NEDERLAND,,06-53499661,Onderwijs: WO,730 - Bedrijven: Groot > 250,,Overige,Stichting,3995DX,VROOMSHOOP,,3311JX,AMSTERDAM,NLD,050  3677000,06 20017735,m,64191.0,,,Woningbouwverenigingen en -stichtingen,,Speur- en ontwikkelingswerk op het gebied van de maatschappij- en geesteswetenschappen,,6-1-2010,,25-7-1990,15-5-1891
154,AMSTERDAM,4100 AA,NL,NEDERLAND,NL - NEDERLAND,,,Onderwijs: VO,791 - Onbekend,CUS,Overige,Publiekrechtelijke rechtspersoon,2718SB,HEDEL,10.0,3502LB,AMSTERDAM,NLD,,06 20362032,,7490.0,,,Algemeen overheidsbestuur,,,,28-12-2010,,,1-1-2002
286A,MOORDRECHT,1831,NL,NEDERLAND,NL - NEDERLAND,,035 6927888,Zorg: Overige,750 - Bedrijven: Klein <100,,Klant,Besloten Vennootschap met gewone structuur,5121DC,BOXTEL,50.0,,,NLD,,,m,4391.0,4941.0,,Universitair hoger onderwijs,"Overig maatschappelijk advies, gemeenschapshuizen en samenwerkingsorganen op het gebied van welzijn",,6.0,1-1-2006,,,1-6-2005
,WAALRE,3584 BA,NL,NEDERLAND,CZ - Tsjechië,,881866860,Onbekend,500 - Overheid: Ministeries,OVE,Klant,,4102AR,DELFT,48.0,1090GC,ROTTERDAM,NLD,0181 667300,,m,8411.0,85599.0,,Vervaardiging van vloerkleden en tapijt,,,1.0,13-10-2006,13-10-2006,,
8 a,RIJSWIJK,,NL,NEDERLAND,NL - NEDERLAND,,030-2534540,,750 - Bedrijven: Klein <100,CUS,Klant,Publiekrechtelijke rechtspersoon,7411MC,ZOETERMEER,58.0,3088HD,DELFT,NLD,,,,88999.0,,,Advisering op het gebied van management en bedrijfsvoering (geen public relations en organisatie-adviesbureaus),,,2.0,25-4-2008,,9-1-2006,24-8-2015
19,ROERMOND,,PL,NEDERLAND,UK - VERENIGD KONINKRIJK,,070-4404000,Partners / dealers,,CUP,Klant,Publiekrechtelijke rechtspersoon,1311KB,ELST,107.0,,,NLD,070  4266426,06 25436021,,7810.0,,,Speciaal onderwijs in expertisecentra,,,1.0,12-4-2013,,,24-10-2012
29-31,UTRECHT,5076 PB,NL,NEDERLAND,NL - NEDERLAND,,,,,ARB,Klant,Publiekrechtelijke rechtspersoon,,BREDA,38.0,3900BC,VEGHEL,NLD,0174 648024,,,86929.0,,,,Uitleenbureaus,,4.0,27-8-2009,11-7-2012,1-1-2016,
5c,AMSTERDAM,NJ 07631,NL,NEDERLAND,NL - NEDERLAND,,,Onderwijs: WO,770 - Partners / dealers,CUS,Overige,Naamloze Vennootschap met gewone structuur,2718RP,ROTTERDAM,20.0,3997MX,AMSTERDAM,NLD,,,,69202.0,6832.0,,,Uitleenbureaus,,,24-3-2006,,,8-7-2014
1,AMSTERDAM,3511 BD,NL,NEDERLAND,NL - NEDERLAND,986068569,,,750 - Bedrijven: Klein <100,CUS,,Vennootschap onder firma,7513AB,NIJKERK,23.0,7913ZX,ROTTERDAM,NLD,,,m,78202.0,94997.0,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",Financiële holdings,Groothandel in elektronische en telecommunicatieapparatuur en bijbehorende onderdelen,8.0,28-9-2007,28-5-2009,,1-9-2007
100,AMSTERDAM,5281 RM,NL,NEDERLAND,NL - NEDERLAND,,11.6503795,Bedrijven: Overige,670 - Zorg: 2e lijns,DEA,Klant,Publiekrechtelijke rechtspersoon,2594AC,,11.0,3731JN,HOOGEVEEN,NLD,,,f,4334.0,,,Organisatie-adviesbureaus,,,2.0,9-6-2011,,,1-7-2008
6A,Haastrecht,1800,NL,NEDERLAND,NL - NEDERLAND,,,,730 - Bedrijven: Groot > 250,ARC,Arbodienst,Besloten Vennootschap met gewone structuur,2311BG,GORINCHEM,3.0,3582KE,'S-GRAVENHAGE,NLD,070  3538180,,,7112.0,85592.0,,Overige belangenbehartiging n.e.g.,,,1.0,6-9-2013,,,19-6-1992
,UTRECHT,7600 AH,NL,NEDERLAND,NL - NEDERLAND,,0493-312589,NIET MEER GEBRUIKEN,590 - Overheid: Overige,CUS,Klant,,,MAASTRICHT,7.0,9610AB,,NLD,088  5577650,,m,8411.0,,6420.0,Algemeen overheidsbestuur,,,1.0,27-12-2013,29-11-2001,,1-5-1990
4,VEGHEL,1081 HV,NL,NEDERLAND,NL - NEDERLAND,,0118-428200,Onderwijs: HBO,880 - NIET MEER GEBRUIKEN,CUS,,Stichting,4104AZ,CULEMBORG,22.0,2300RA,AMSTERDAM,NLD,010  5292222,,m,55101.0,86102.0,,Arbeidsbemiddeling,,,1.0,19-6-2007,15-1-1996,,1-8-2007
28,IJMUIDEN,8031 DX,NL,NEDERLAND,NL - NEDERLAND,,0343-460095,Overheid: Gemeentes < 100000,690 - Zorg: Overige,CUP,Klant,Eenmanszaak,2284DP,AMSTERDAM,102.0,3990DD,ROERMOND,NLD,0570 693911,,,,,,Aardolieraffinage,Goederenvervoer over de weg (geen verhuizingen),"Leggen van rioleringen, buizen en pijpleidingen; aanleg van bronbemaling",1.0,1-4-2014,,,1-10-2014
,TIEL,4006 EA,NL,NEDERLAND,US - United States of America,115106007,073-6569780,Bedrijven: Klein <100,600 - Onderwijs: WO,CUS,Klant,Vereniging met volledige rechtsbevoegdheid,1382JR,HEETEN,22.0,9400AJ,LEEUWARDEN,NLD,0499 491010,,m,6420.0,,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",,,2.0,13-3-2017,2-9-2004,,6-12-2010
1,HELMOND,5231 GT,NL,NEDERLAND,NL - NEDERLAND,,050 5445090,Overheid: Ministeries,750 - Bedrijven: Klein <100,SPA,Klant,Stichting,5612AE,AMSTERDAM,2.0,1180AG,,,0596 640400,,,6201.0,,,Overige administratiekantoren,,,2.0,,25-10-2006,6-4-2009,25-11-2014
3,UTRECHT,2391 PX,NL,NEDERLAND,NL - NEDERLAND,,0182 322500,Bedrijven: Klein <100,600 - Onderwijs: WO,CUS,Dealer,Besloten Vennootschap met gewone structuur,7913ZX,AMSTERDAM,6.0,3437NS,,NLD,030  6880181,,m,4651.0,,,Operational lease van personenauto's en lichte bedrijfsauto's,,,6.0,10-3-2017,,31-5-1995,1-9-1970
,HEERLEN,4131 NJ,NL,NEDERLAND,NL - NEDERLAND,,030-2537313,NIET MEER GEBRUIKEN,520 - Overheid: Gemeentes > 100000,ARB,Klant,Vereniging met beperkte rechtsbevoegdheid,9726AD,CULEMBORG,,,KINDERDIJK,NLD,033  4695010,,,7740.0,,,Overige belangenbehartiging n.e.g.,Advisering op het gebied van informatietechnologie,,1.0,1-2-2008,18-7-2007,,
113,DEN HAAG,1400 AA,SG,NEDERLAND,NL - NEDERLAND,,,Onderwijs: WO,,,Dealer,Stichting,6717XA,,8.0,6333AW,NUMANSDORP,NLD,076  5293600,,,6420.0,,,Ingenieurs en overig technisch ontwerp en advies,Groothandel in meet- en regelapparaten,,1.0,20-4-2017,4-7-1973,1-1-2014,1-1-1995
1,ST. ODILIENBERG,5145 RA,NL,NEDERLAND,NL - NEDERLAND,,(0)20-3057766,Bedrijven: Klein <100,760 - Bedrijven: Overige,CUS,Klant,Besloten Vennootschap met gewone structuur,2491AC,UTRECHT,2.0,,,NLD,,,m,2740.0,4665.0,,Openbaar interlokaal personenvervoer over de weg,,,2.0,1-5-2009,17-12-2014,,1-12-1996
,GONZERATH,3542 AR,NL,NEDERLAND,NL - NEDERLAND,,,Overheid: Ministeries,750 - Bedrijven: Klein <100,,Klant,Besloten Vennootschap met gewone structuur,9723ZA,SOMEREN,1.0,,NUNSPEET,NLD,0900 1234579,,,6420.0,4941.0,,,Winkels in meubels,Kinderopvang,,21-6-2011,,,1-1-1995
100,DEN HAAG,3000 LN,NL,NEDERLAND,NL - NEDERLAND,839210788RT0001,+49 70 5518164,Financiele instellingen,760 - Bedrijven: Overige,CUS,Overige,Besloten Vennootschap blijkens statuten structuurvennootschap,1082VA,WOERDEN,70.0,6160BB,,NLD,0186 685941,,f,8411.0,,,Middelbaar beroepsonderwijs en educatie (gecombineerd),Overige telecommunicatie,,5.0,3-10-2013,26-10-2007,1-1-2014,7-5-1985
22,Paris,6131 JD,US,NEDERLAND,UK - VERENIGD KONINKRIJK,,,NIET MEER GEBRUIKEN,700 - Financiele instellingen,DEA,,Besloten Vennootschap met gewone structuur,3281NH,,35.0,3528BA,ROTTERDAM,NLD,,,m,45192.0,,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",,Overige uitgeverijen van software,1.0,30-10-2012,,,17-2-1971
4A,AMSTERDAM,9100,NL,NEDERLAND,NL - NEDERLAND,223337435,020-5174406,Bedrijven: Klein <100,750 - Bedrijven: Klein <100,CUS,Architect,,4006EB,'S-GRAVENHAGE,67.0,4817MV,SOMEREN,NLD,,,,7311.0,,,Interieur- en ruimtelijk ontwerp,,,,30-6-2003,29-9-2009,,1-10-2013
94,ROTTERDAM,2564 VD,BE,NEDERLAND,NL - NEDERLAND,,0180 414 114,Bedrijven: Klein <100,600 - Onderwijs: WO,CUP,Klant,Besloten Vennootschap met gewone structuur,3363WB,'S-GRAVENHAGE,1.0,3860BB,TILBURG,,,,,85323.0,,,Brede scholengemeenschappen voor voortgezet onderwijs,,,1.0,11-5-2016,,,2-7-2015
,ROTTERDAM,7399 AR,UK,NEDERLAND,NL - NEDERLAND,,010-4082241,Bedrijven: Klein <100,520 - Overheid: Gemeentes > 100000,CUP,Klant,Publiekrechtelijke rechtspersoon,1507CB,AMSTERDAM,2.0,4101BZ,,NLD,070  5165165,071 5273020,,7112.0,46473.0,,Organisatie-adviesbureaus,Groothandel in kantoormachines (geen computers),,2.0,16-4-2010,,30-3-2010,1-1-2004
1,NUNHEM,21010,NL,NEDERLAND,NL - NEDERLAND,BE0895.640.788,0345-688888,Gispen / InterCompany,620 - Onderwijs: MBO,CUS,,Besloten Vennootschap met gewone structuur,6621BS,MIDWOLDA,2.0,2132HB,HERWIJNEN,NLD,0475 538888,,m,94993.0,,,Industrieel en productontwerp,,,3.0,2-1-2015,6-6-1978,,1-1-2007
58,AMERSFOORT,3003 KE,NL,NEDERLAND,BE - BELGIE,GB 730859520,,Onderwijs: WO,730 - Bedrijven: Groot > 250,OVE,Dealer,Eenmanszaak,7942DG,WADDINXVEEN,4.0,1100DD,SINT-MICHIELSGESTEL,NLD,0161 240170,,,,,,"Bemiddeling bij handel, huur of verhuur van onroerend goed",Organisatie-adviesbureaus,,5.0,2-3-2015,,,1-3-2015
50,HOOFDDORP,3925 LN,NL,NEDERLAND,NL - NEDERLAND,,070-3402040,Bedrijven: Groot > 250,620 - Onderwijs: MBO,OVE,Klant,Besloten Vennootschap met gewone structuur,2713HA,AMSTERDAM,8.0,6201BZ,AMSTERDAM,NLD,073  5322961,,m,5811.0,,,Accountants-administratieconsulenten,Uitleenbureaus,,1.0,3-1-2012,5-11-1971,15-12-2015,30-7-1997
88b,HARDINXVELD-GIESSENDAM,5692 DC,NL,NEDERLAND,NL - NEDERLAND,,023-5676406,,690 - Zorg: Overige,ARC,Klant,Besloten Vennootschap met gewone structuur,6442BE,NIEUWEGEIN,2.0,5270BA,MAASLAND,NLD,0162 579579,06 16355793,,8621.0,6420.0,,Religieuze organisaties,Ambulante jeugdzorg,,8.0,18-8-2008,1-5-2009,,30-12-1976
1105,EDE GLD,DYNNYRNE,NL,NEDERLAND,NL - NEDERLAND,,2084502544,NIET MEER GEBRUIKEN,500 - Overheid: Ministeries,ARB,Klant,Besloten Vennootschap met gewone structuur,,DELFT,1.0,,RIJSWIJK,NLD,0161 240170,,m,3811.0,29201.0,,Musea,,,1.0,1-12-2010,15-3-2004,10-11-2007,26-11-2008
120,DELFT,3062 LC,NL,NEDERLAND,DE - DUITSLAND,851797209,505245245,NIET MEER GEBRUIKEN,730 - Bedrijven: Groot > 250,,Klant,Eenmanszaak,4873LP,TIEL,101.0,3544AB,BARNEVELD,NLD,,,,91019.0,,,Organisatie-adviesbureaus,Uitleenbureaus,,4.0,24-6-2014,7-2-1962,,1-7-2004
12 - 24,UTRECHT,3991 CR,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Overige,730 - Bedrijven: Groot > 250,ARC,Klant,,5361ME,ETTEN-LEUR,8.0,8000GB,LANDSMEER,NLD,0182 547500,,,6420.0,,,Ministerie van Justitie en gevangeniswezen,,,2.0,24-10-2012,21-5-2013,,
,WIJCHEN,3970 AE,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Groot > 250,850 - NIET MEER GEBRUIKEN,ARB,,Besloten Vennootschap met gewone structuur,2252LA,ALKMAAR,4.0,2295RZ,CULEMBORG,NLD,0184 651487,,,74102.0,,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",,,1.0,9-3-2010,,,2-3-1937
15,CULEMBORG,3521 AL,NL,NEDERLAND,NL - NEDERLAND,,040-2399111,NIET MEER GEBRUIKEN,750 - Bedrijven: Klein <100,CUS,Klant,Stichting,3632VA,HERWIJNEN,25.0,6200AA,AMSTERDAM,NLD,020  6274576,,f,46691.0,,,Speciaal onderwijs in expertisecentra,,,1.0,24-7-2012,,,27-11-2006
102,KRALENDIJK,6532 SZ,CH,AUSTRALIE,NL - NEDERLAND,,050 3680211,Bedrijven: Klein <100,750 - Bedrijven: Klein <100,CUS,Klant,Besloten Vennootschap met gewone structuur,3995AX,HILVERSUM,,6541XN,,NLD,020  5675000,,f,,,,Beleggingsinstellingen met beperkte toetreding,,,1.0,1-2-2008,,,1-7-1987
,GRONINGEN,3515 GA,NL,NEDERLAND,NL - NEDERLAND,,045 5737475,Bedrijven: Klein <100,730 - Bedrijven: Groot > 250,CUS,Dealer,Publiekrechtelijke rechtspersoon,3119XT,,,2300AD,'S-GRAVENHAGE,NLD,0111 407782,06 10286867,,86101.0,,,Algemene ziekenhuizen,,,4.0,21-3-2017,21-1-2011,,6-1-1986
10,UTRECHT,1101 AG,NL,NEDERLAND,DE - DUITSLAND,,010-2971234,Bedrijven: Groot > 250,830 - NIET MEER GEBRUIKEN,ARB,Klant,Stichting,1102CV,UTRECHT,182.0,2508CP,AMSTELVEEN,NLD,030  6099111,06 24794498,,6420.0,,,Advisering op het gebied van management en bedrijfsvoering (geen public relations en organisatie-adviesbureaus),,,1.0,12-9-2012,,,1-5-2000
8,HOOFDDORP,3991 AS,NL,NEDERLAND,NL - NEDERLAND,979880436,,Bedrijven: Groot > 250,730 - Bedrijven: Groot > 250,,Klant,Besloten Vennootschap met gewone structuur,3881BH,DRIEBERGEN-RIJSENBURG,15.0,3001HA,NIJMEGEN,NLD,020  5518117,,,85592.0,46699.0,,Samenwerkingsorganen op het gebied van gezondheidszorg en overige gezondheidszorgondersteunende diensten,,,6.0,31-3-2009,1-9-2008,,15-10-2007
,AMSTELVEEN,800 037,NL,NEDERLAND,NL - NEDERLAND,,0598 366300, Inkoop-diensten,760 - Bedrijven: Overige,CUS,Klant en Partner,Publiekrechtelijke rechtspersoon,8331XE,AMSTELVEEN,67.0,4802HW,ZAANDAM,NLD,045  5706000,,,46751.0,,,Groothandel in overige consumentenartikelen (non-food) n.e.g.,,,1.0,27-1-2014,16-3-1995,,1-10-2002
10,TIEL,5201 CZ,NL,NEDERLAND,DE - DUITSLAND,0891 991 511,075-6422434,Overheid: Provincies,750 - Bedrijven: Klein <100,CUS,Klant,Besloten Vennootschap met gewone structuur,3645EV,GELDERMALSEN,2.0,2501GB,AMERSFOORT,NLD,073  6249624,,m,1091.0,,6420.0,Universitair hoger onderwijs,,,8.0,18-10-2013,31-12-2011,1-1-2016,1-12-1997
1105,ADUARD,9726 AD,NL,NEDERLAND,NL - NEDERLAND,NL001483316B01,(088) 797 11 11,Bedrijven: Groot > 250,740 - Bedrijven: Middel >100 < 250,CUS,Klant en Partner,Publiekrechtelijke rechtspersoon,1066JS,UTRECHT,13.0,6040KG,DEN HAAG,,033  2772324,,,64194.0,,,Financiële holdings,,Advisering op het gebied van informatietechnologie,7.0,,,,25-11-1994
105,EDE,6525 GA,NL,NEDERLAND,NL - NEDERLAND,NL001483316B01,464113490,,520 - Overheid: Gemeentes > 100000,ARC,Klant,Eenmanszaak,6135LH,HOORN,51.0,2600AA,AMSTERDAM,NLD,0318 675500,,m,85201.0,9522.0,,Administratiekantoren voor aandelen en obligaties,,,2.0,5-5-2017,22-10-2004,,3-8-2012
18,DEN HAAG,4311 GL,NL,NEDERLAND,NL - NEDERLAND,,073-5234400,,630 - Onderwijs: VO,OVE,Klant,Vennootschap onder firma,4021CB,HOUTEN,37.0,9721AM,,NLD,073  6451111,,,8411.0,46473.0,,"Ontwikkelen, produceren en uitgeven van software",,,8.0,20-10-2011,30-8-2001,,
420-422,ROTTERDAM,5463 ET,NL,DUITSLAND,NL - NEDERLAND,,,Bedrijven: Klein <100,730 - Bedrijven: Groot > 250,CUS,Klant,Besloten Vennootschap met gewone structuur,6666MC,AMSTERDAM,5.0,,MAASDIJK,NLD,043  6312631,,m,94997.0,,78203.0,"Hypotheek- en kredietbemiddeling, geldwisselkantoren, bank- en spaaragentschappen e.d.",,,3.0,6-1-2010,,1-1-2001,
,ZWOLLE,5004 JA,NL,NEDERLAND,NL - NEDERLAND,,023-5626248,Onderwijs: HBO,500 - Overheid: Ministeries,CUS,Klant,Vereniging met volledige rechtsbevoegdheid,7468NA,ZOETERMEER,336.0,6422RA,DEN HAAG,NLD,046  4529627,,m,4665.0,4333.0,,Ingenieurs en overig technisch ontwerp en advies,,,7.0,17-1-2008,,,1-1-1974
9,AMSTERDAM,2270 AB,NL,NEDERLAND,NL - NEDERLAND,,045-8504100,Bedrijven: Klein <100,630 - Onderwijs: VO,,Klant,Besloten Vennootschap met gewone structuur,,ROTTERDAM,132.0,5656AE,TIEL,NLD,0528 297111,,m,88993.0,46473.0,,Universitair hoger onderwijs,,,1.0,25-9-2008,,15-1-1996,1-1-2001
,GRONINGEN,2521 DB,NL,BELGIE,NL - NEDERLAND,,070-302 50 00,Zorg: 2e lijns,770 - Partners / dealers,DEA,Klant,Besloten Vennootschap met gewone structuur,2584AA,ADUARD,71.0,2300AH,HILVERSUM,NLD,038  4281400,,,6420.0,,,Theaters en schouwburgen,,,1.0,25-3-2014,,20-11-1990,28-10-2013
275,STAPHORST,3991 AR,AT,CURACAO,NL - NEDERLAND,8148.86.280.B01,,Bedrijven: Groot > 250,799 - Gispen / InterCompany,,Klant,,3941MT,AMSTERDAM,,2984BK,AMSTERDAM,NLD,030  2446666,,f,,,,Groothandel in overige consumentenartikelen (non-food) n.e.g.,Detailhandel in auto-onderdelen en -accessoires,,9.0,9-1-2017,7-3-2007,21-5-1999,9-2-1948
177,GRONINGEN,2333 AL,NL,NEDERLAND,NL - NEDERLAND,,010 4330033,Onderwijs: WO,,,Klant,Publiekrechtelijke rechtspersoon,3012KJ,ALMERE,3.0,2033CK,ROTTERDAM,NLD,078  6849270,,,55102.0,6622.0,,Middelbaar beroepsonderwijs,,,1.0,1-8-2008,30-6-2004,,26-2-2002
50,DELFT,2282BW,NL,NEDERLAND,NL - NEDERLAND,,020-5733300,Overheid: Gemeentes < 100000,750 - Bedrijven: Klein <100,CUS,Klant,Vennootschap onder firma,5466RB,GULPEN,3.0,6114AX,GRONINGEN,NLD,088  1866868,,,,,47914.0,Financiële holdings,Uitleenbureaus,,1.0,17-11-2011,,,1-10-2011
1,SCHERPENZEEL GLD,3903 AD,NL,NEDERLAND,NL - NEDERLAND,,,Onderwijs: MBO,530 - Overheid: Gemeentes < 100000,CUS,Arbodienst,Publiekrechtelijke rechtspersoon,2612VC,'S-GRAVENHAGE,20.0,9640RA,MOERGESTEL,NLD,,,m,46462.0,,,Algemeen overheidsbestuur,,,3.0,13-10-2009,,,1-10-1982
222,AMSTELVEEN,3998 LZ,NL,NEDERLAND,NL - NEDERLAND,13-1624100,,,660 - Zorg: Ziekenhuizen,CUP,Klant,Besloten Vennootschap met gewone structuur,6525HP,,64.0,3021GV,ROTTERDAM,NLD,088  1243311,,,2740.0,,,Uitgeverijen van tijdschriften,,,1.0,25-3-2011,,,16-12-1996
132,UTRECHT,9722 TB,NL,NEDERLAND,NL - NEDERLAND,,078 770 85 85,Gispen / InterCompany,590 - Overheid: Overige,CUS,Partner,Besloten Vennootschap met gewone structuur,2711ER,'S-GRAVENHAGE,43.0,,SCHERPENZEEL GLD,,0345 479280,,,,6420.0,,Concerndiensten binnen eigen concern,,,1.0,24-1-2011,,,1-4-2001
47,AMSTERDAM,2992 KB,NL,NEDERLAND,NL - NEDERLAND,,0091(0)11 26884,,540 - Overheid: ZBO's,CUP,Klant,Besloten Vennootschap met gewone structuur,4112NE,RIJSWIJK,14.0,1332BS,STRIJEN,NLD,,,,1081.0,,,,Organisatie-adviesbureaus,,5.0,20-10-2009,,,1-4-2007
26,BEESD,,NL,NEDERLAND,BE - BELGIE,,06-25436021,Overheid: Ministeries,665 - Zorg: 1e lijns,,,Besloten Vennootschap met gewone structuur,2841ML,,,5613BE,CULEMBORG,NLD,0174 294202,,m,47643.0,,,Winkels in sportartikelen (geen watersport),Belastingconsulenten,Groothandel in papier en karton,1.0,17-5-2010,,,1-1-1950
1,Bonheiden,3818 LE,NL,NEDERLAND,NL - NEDERLAND,,(0)70 333 93 52,Bedrijven: Groot > 250,670 - Zorg: 2e lijns,CUS,Overige,Besloten Vennootschap met gewone structuur,6416CB,DELFT,,3077AA,RIJSWIJK ZH,NLD,040  2611911,,,70221.0,4312.0,7112.0,"Handelsbemiddeling in meubels, huishoudelijke artikelen en ijzerwaren",,,1.0,1-10-2015,31-3-1982,,5-2-1991
36Z,"CHENGXIANG TWN,TAICANG",1506 PR,NL,NEDERLAND,NL - NEDERLAND,,015-2782441,Overheid: Ministeries,770 - Partners / dealers,CUS,Overige,Maatschap,3515GA,HORST,4.0,1271RM,CULEMBORG,NLD,020  5128888,,,93151.0,,,Landschapsverzorging,Groothandel in voedings- en genotmiddelen algemeen assortiment,,2.0,4-9-2007,23-12-2005,,
143 b-c,DE BILT,6135 CV,NL,NEDERLAND,NL - NEDERLAND,NL001483316B01,+31 (0)20 428 7,Bedrijven: Groot > 250,610 - Onderwijs: HBO,CUS,Tender,Stichting,4103NM,UTRECHT,25.0,3447GK,EINDHOVEN,NLD,050  5245910,,,,47592.0,9524.0,Overige belangenbehartiging n.e.g.,Verhuur van personenauto's en lichte bedrijfsauto's (geen operational lease),,,7-2-2012,28-10-2002,22-9-1983,1-1-2006
6,RIDDERKERK,4207 HB,NL,NEDERLAND,NL - NEDERLAND,,088-0015000,,730 - Bedrijven: Groot > 250,CUS,Architect,Eenmanszaak,3032AD,VEGHEL,134.0,1081BT,,NLD,088  1447144,,,2561.0,4726.0,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",Reisbemiddeling,,2.0,29-11-2012,,,1-2-1997
25-27,EINDHOVEN,2491 AC,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Klein <100,530 - Overheid: Gemeentes < 100000,CUS,,Besloten Vennootschap met gewone structuur,3011AA,,1.0,4100AA,HILVERSUM,NLD,088  7550076,,,,,,Werknemersorganisaties,,,9.0,22-6-2006,31-10-1977,,20-12-2011
2,HEINENOORD,8332 GL,NL,IJSLAND,NL - NEDERLAND,,0475-389160,Onderwijs: HBO,750 - Bedrijven: Klein <100,CUS,Overige,,2333AL,AMSTERDAM,52.0,3062LC,SITTARD,,010  4822247,,m,6420.0,78201.0,,Exploitatie van bossen,,Vervaardiging van keramische tegels en plavuizen,4.0,,,1-1-2008,
25,FARUM,2596 AW,NL,NEDERLAND,NL - NEDERLAND,,,Onderwijs: HBO,590 - Overheid: Overige,CUS,Klant,Besloten Vennootschap met gewone structuur,3014HA,UTRECHT,,1120AA,WEESP,NLD,050  5226922,,,,,,Categorale ziekenhuizen,,,2.0,7-12-2006,27-3-1997,,1-7-2013
1,Amsterdam,1175 RK,NL,NEDERLAND,PL - POLEN,,020-5276000,Onderwijs: HBO,730 - Bedrijven: Groot > 250,OVE,Overige,Naamloze Vennootschap met gewone structuur,3115JD,'S-GRAVENHAGE,54.0,2380AA,MAASTRICHT,NLD,071  5177311,,,86921.0,,,Universitair hoger onderwijs,,,4.0,,5-2-2014,28-1-2000,
15,EINDHOVEN,9723 AB,NL,NEDERLAND,NL - NEDERLAND,,010-4761100,Partners / dealers,750 - Bedrijven: Klein <100,CUS,Dealer,Besloten Vennootschap met gewone structuur,2521CD,HEERDE,5.0,2130KB,UTRECHT,NLD,070  3131050,06 28415329,,,,,Woningbouwverenigingen en -stichtingen,,,6.0,15-7-2003,31-12-2011,,
30,TE AWAMUTU,4301 JD,NL,NEDERLAND,NL - NEDERLAND,,035-6718718,Bedrijven: Klein <100,870 - NIET MEER GEBRUIKEN,CUS,Klant,Eenmanszaak,2596BS,AMERSFOORT,6.0,3100AV,AMERSFOORT,NLD,070  3017760,,f,8411.0,,,Architecten (geen interieurarchitecten),Vervaardiging van grafisch papier en karton,,4.0,23-5-2013,22-12-1970,,7-7-2015
35,'S-GRAVENHAGE,6445 PA,NL,NEDERLAND,NL - NEDERLAND,,088-8420493,Overheid: Gemeentes > 100000,,OVE,Klant,Stichting,2594AC,NIJMEGEN,77.0,4104BG,SCHIPHOL,NLD,030  6663315,,,8411.0,,,Financiële holdings,Beheer van onroerend goed,,7.0,1-8-2013,,,9-6-2010
,LEIDEN,1019 BN,NL,NEDERLAND,NL - NEDERLAND,,079-3531212,Overheid: Provincies,760 - Bedrijven: Overige,CUS,Klant,Besloten Vennootschap met gewone structuur,2991LR,IJMUIDEN,312.0,2501CE,EINDHOVEN,NLD,,06 11356636,,8621.0,,,Middelbaar beroepsonderwijs en educatie (gecombineerd),,,,26-8-2008,,31-12-1998,
1,AMSTERDAM,3247 BW,NL,NEDERLAND,NL - NEDERLAND,,010-2585000,Zorg: Ziekenhuizen,520 - Overheid: Gemeentes > 100000,CUS,Klant,Eenmanszaak,1081HV,AMSTELVEEN,3.0,3515ET,DIRKSLAND,NLD,020  5791000,,,91019.0,,,Architecten (geen interieurarchitecten),,,2.0,25-8-2008,,24-1-1997,1-7-2003
,ROTTERDAM,1075 PR,NL,NEDERLAND,NL - NEDERLAND,,088 265 5555,Bedrijven: Klein <100,770 - Partners / dealers,,Architect,,2941EZ,VLAARDINGEN,,6802EG,AMSTELVEEN,NLD,,,,4665.0,,,,Arbobegeleiding en reïntegratie,,1.0,14-8-2008,,,1-7-2008
