unknown,unknown,unknown,postcode,city,country,telephone_nr,sbi_code,unknown,unknown,unknown,unknown,unknown,unknown,date,unknown,legal_type,date,date
5355,5AF6C8AF-DB8D-414C-83BD-AF9E50F241A9,958289,3432 NA,,NL ,,-         ,Customer,CANE,B8BD908F-0306-4481-8B47-34EA5A7D9C1B,,,,,C6B1490A-58C1-4CF8-8170-344353A80167,,,
5804,58196543-3C32-417C-9570-3376A1DB5707,958884,1328 HC,Groningen,NL ,0167-566861,-         ,Customer,CANE,67826FFB-5723-4802-90DB-742C03DB7AE4,,,,,AB1F2481-05B8-45A3-ACB3-ED7CE04A5E96,,,
6200,A8F2481B-23A5-432B-930B-AB209F5E9881,955612,3931 PM,Amstelveen,NL ,0315-386260,-         ,Supplier,CANE,5EACC4BC-57DB-4948-A617-87F6C5CACA00,,,,,C1601F88-A1A9-4F3F-81B7-4E68F7EEABED,,,
7013,12012D4C-995B-4A00-B2E0-78370563F06A,958938,3721 BC,HARDINXVELD-GIESSENDAM,NL ,020-6233690,-         ,Suspect,CANE,C0BEF068-AC3D-48D4-9CEE-A1026607960F,37047360.0,,,,5C090C41-6767-43F8-855F-EA552A0F865A,,,
3954,1DBD8A8B-DF86-484F-AF2B-3096117D1BF1,959326,6361 AH,Groningen,NL ,040-2855461,-         ,Customer,CANE,78C8DA35-58E9-4207-B82F-E09EFBB33564,,,,,C6837714-7503-408B-BB33-04D3A6611B9A,,,
4669,DF18B27B-8030-4D95-A44F-7910CDF3A0A0,958887,3992 AG,Lieren,NL ,31 (20) 7880560,UNKNOWN   ,Customer,CANE,D7D9261D-FDF3-40DA-AB5D-FCBF0F6E0B12,,,,,2633AFD9-67F1-4FE7-B5BD-C80D24D4D69C,,,
3122,21CB09E2-C4D6-4915-9641-C9A028FD4432,958547,8152BN,AMSTERDAM-DUIVENDRECHT,NL ,0229 - 242324,-         ,Customer,CANE,79FE014A-3CE4-4965-9A35-EFC9F823F517,,,,,004BBDCD-FD02-4E20-9CC2-CBAC65DF0F8F,,,
2760,99591970-401B-460A-A96D-FB8498A4D55D,201794,3067 GV,IJmuiden,NL ,,UNKNOWN   ,Suspect,CANE,CDF4F09A-DA6E-4FDB-9E29-02B8EF1D42F4,,,,,6BDB5B0E-730F-4F61-BFE1-1EAF81AFE2F8,,,
3644,56788CBA-865E-49F2-B595-8CC3E124926E,958911,7900AB,Houten,NL ,035-6925590,-         ,Supplier,CANE,A8DB6DAC-FFC2-4E39-9890-ADCBE9027A9B,,,,,0E03A36D-6867-4284-848D-F489B7C8C009,,,
978,31E9BBD9-67A5-411A-A9BF-2BC24E5819F3,959329,2132 WT,Eethen,NL ,,47        ,Prospect,CANE,71986383-B517-4828-80D3-DC0CAC642738,,,,,45771747-91FD-4EF7-AD84-EFBDDD2966BE,,,
5252,0A1986FF-5DD0-4763-BACD-DABF7238B8D2,956553,3078 HG,Harderwijk,NL ,0575-501488,-         ,Division,CANE,AF8AD4D2-4236-4AA5-9DA6-570AE308F81C,,,,,68BE9FB0-C2CE-41B2-8C6D-4E0252384293,,,
3654,92A7DDC9-2A30-47AC-AB24-67D6C7B70DE0,957174,8013NL,Nieuwegein,NL ,0412-454500,-         ,Customer,CANE,0DE9AE19-18DB-4AFD-8FAE-1BD7DFEA3DDC,,,,,F9C60579-B99B-49CB-B75E-27AE080B237F,,,
3735,9234042E-D89D-45E8-A291-A02959102C3A,10088,2586 EK,Utrecht,NL ,020 4712341,UNKNOWN   ,Customer,CANE,F1579C00-1B8C-412E-AE4B-B95B020FE1DE,,,,,6B4E431D-3591-4009-952B-760CC302BBCC,,,
164,E03AEFA1-7962-4CF7-B59C-5D48FA0F5C74,123494,3811 PD,Deventer,NL ,035-6936845,-         ,Customer,CANE,7AE551F9-3DAC-4B73-A702-7C64919D4CBB,,,17744679.0,,6CD25C2C-65A2-489F-8F8C-CD76E354FF83,,,
5270,5F9BAD57-CB54-4198-8C54-63C935892C43,400697,,Lemelerveld,NL ,(0315) 68 34 50,UNKNOWN   ,Customer,CANE,EA7C9039-1094-4306-87DC-D3ADBC6BCAD4,,,,,7A2FA349-C102-49EC-96EB-F176ABA0DACB,,,
1613,66CBC526-2C1B-43C7-A56F-0EB214B605E4,958353,,Dordrecht,NL ,0180-420808,UNKNOWN   ,Supplier,CANE,A2776B07-F46E-4FCD-BC53-88341AB60BD0,,,,,652B7E35-73C7-4887-8B2C-913288A21DDC,,,
6821,C203DC2C-0AC8-42B4-9BAA-2DC7879473F8,134410,7011 EP,Nieuw Vennep,NL ,020  6922483,-         ,Reseller,CANE,C59321C9-1215-4A27-AFD2-FBEAC12BD24A,,,,,756457B5-7983-4843-90CB-C01A1C6C0023,,,
6304,24206443-BD39-4FA8-AB45-9946A5680885,10273,6827 AB,Groenekan,NL ,0521-522600,UNKNOWN   ,Supplier,CANE,8A2B67F4-3EB6-48E2-B459-F2BE12647C42,,,,,E484F548-E190-42E6-8D57-EB1463D69853,,,
3561,E05E8472-9B8A-468E-8C88-E1FE51231F2F,956774,8121 EV,AMSTERDAM,NL ,06-40047987,UNKNOWN   ,Prospect,CANE,5E40B64B-8A79-44D1-BD21-48BB37BDC640,,17178797.0,,,932A9F27-A652-4D2A-8D39-920D2E124D46,,,
3599,D1D1CBDF-367C-4B81-9B43-C238F4AED4C6,957786,7255 AG,Maarssen,NL ,036-5482180,UNKNOWN   ,Prospect,CANE,086C3126-55DF-4213-906A-B96FC22D85F1,,,,,3BC1CAAC-05F8-4993-8EE0-6CBE723247C2,,,
4551,8EDE4F14-FD99-4B4A-9440-E290030E8A9F,957614,8161 CP,Waddinxveen,NL ,(030) 244 14 68,-         ,Supplier,CANE,684605E8-7FE4-4972-B295-D7C6CE7515E6,,,12944351.0,,CF285CC2-1321-4459-9495-AC81D55AC987,,,
2419,982B2EAD-4DC8-4146-A208-FC2C83D8DB26,959328,,Houten,NL ,078-6169258,-         ,Customer,CANE,53BE7F60-FAD2-4599-9960-3A9A9F0058E1,,16202414.0,,,BA45684C-4587-4923-80C4-139938E922DA,,,
5453,22CF1D96-FA4D-4848-8430-D3EC0D3AF9E8,207,3743 AG,HOOGEVEEN,NL ,026  3525500,UNKNOWN   ,Supplier,CANE,B08A8D01-32BD-4EC7-84DD-56ED882A0D21,,,,,A4D4FEF2-219E-432E-8496-007570C46B94,,,
312,80C4D543-1CAB-43D2-AF41-D20EC85F03BB,1019,3896 LT,Tillburg,NL ,,N         ,Suspect,CANE,E9811493-9FB2-4247-B1AA-3257B42EE7E4,,,,,C0912A82-5E5D-42AC-8762-9F3BE5568718,,,
6731,E1FEBA36-3A44-46DC-BB43-A1E6603F160A,4123,2625 SN,ALMERE,NL ,035-5431701,N         ,Customer,CANE,4C9889FC-A851-4BBB-9185-A30F1E975CAC,,,,,691A9CA1-A9C6-4286-9E1D-610A36433A2B,,,
6871,FA84DB60-538B-4642-9E2F-7CEE358F2C6F,959609,97816,Rotterdam,NL ,0104312234,-         ,Customer,CANE,8FD0CAAD-82BE-44D7-AA10-0944B48BD6D8,,,,,57033E20-DFA7-4D3B-8B57-93A72E86A636,,,
5749,CF5667A5-98C2-4A14-9E94-0BB6C188F644,203178,2132 WT,Krimpen aan den IJssel,NL ,,-         ,Supplier,CANE,C37470A0-6E8D-4A00-BDA9-980C829590B7,,,,,84034BD3-F1B9-4426-83BD-BCDA41B41E80,,,
7099,43DF328C-E668-4069-A34A-A1E204D7060D,1056,4152 EB,Amsterdam,NL ,030-6301177,-         ,Lead,CANE,6CBE5E0E-DDE3-4C89-9117-3DCF315D74C0,,,,,9986B4EF-98E3-4677-AFD7-909B12E5124E,,,
5395,8B8F9E8D-2C89-4171-AB24-614085CD8D5B,6905218,7021 GE,CAPELLE AAN DEN IJSSEL,NL ,,UNKNOWN   ,Prospect,CANE,29ACF0D7-15DC-432A-B5B1-C96F8A6E6619,,,,,0D616297-E175-4749-A0D1-9F61D5FBABC2,,,
6253,C8B8DD9B-F673-42C8-80EC-F09155A16EF7,204409,,Nieuwegein,NL ,,UNKNOWN   ,Customer,CANE,381B0DB1-42D5-4E9F-A575-7C14E6DC7D8B,,,,2014-04-28 00:00:00.000,1D6BC702-9DDE-4770-9AC4-B505C1A2D0F0,,,
5858,F382B053-F806-4E5A-BF9F-C551542223C4,100283,5431 LM,DEN HAAG,NL ,,-         ,Customer,CANE,D374D8B3-0700-4AA1-BC60-1D095F551664,,,,,49A5FAF7-55A9-4845-BCF2-D225EDC70A56,,,
5070,1341D7F0-A3C0-453C-8FD0-55C36DBA2DAE,365,1083HN,,NL ,078 - 6541111,UNKNOWN   ,Customer,CANE,54974CED-4BC2-475E-8822-01C4BB847090,,,,,1F5994E5-F3F1-4058-B6C3-8CF55BE3DCED,,,
5039,42AE6436-E274-49CF-8A58-E847A6EE2D57,5166,2153 GB,,NL ,0344-634399,-         ,Supplier,CANE,18BB7A59-DBD3-47D2-BE3E-A966998E4782,,,,,EA3393BE-322E-4F92-BFF0-5F8D5620675F,,,
6255,A45A3204-BC16-45A0-80EA-D5C70358808F,3011,3800 BE,,NL ,020 365 22 00,A         ,Customer,CANE,9FF90C55-4403-484A-B333-F6107D49F259,,,,,5D0D97E5-C577-463B-A855-9FAAA50C0742,,,
1814,61E5B9A5-F2D1-4A1B-8818-DC7090C1F926,100493,6921 RG,Utrecht,NL ,06-44070176,UNKNOWN   ,Prospect,CANE,5256AEC7-01E3-4213-8CF8-6DE6235D3D5E,,,,,415E8E5B-8CAB-4B96-AE08-2C555B7CA1C8,,,
6410,A06B34EE-54F6-4BDC-8DD6-27A24645014E,201649,6712 DD,BILTHOVEN,NL ,06-38546704,-         ,Prospect,CANE,F7ACBDD2-0C10-47A6-90C0-674D720768A5,,,,,B2982FCD-B77E-4EA0-AA88-6A2B0FE862CF,,,
1070,7F1E1458-712D-494E-91B2-A6389FDA16E2,133870,2222 AB,Soest,NL ,0543-451567,69        ,Supplier,CANE,20D405CF-3168-46AA-BD4C-FE400DCB85AD,,,,,6D81DCD0-DE9A-4D67-B7B1-D86B22093801,,,
1008,F4519E66-81E7-4213-8141-3B23C2CAE2DD,10374,7101 BB,Zaandam,NL ,0522-443229,-         ,Customer,CANE,8E0AAFAB-9A95-4111-980F-0E8D2EBDD4C9,,,,,EF3330C7-2E31-4D89-8B4E-68433DE24969,,,
7096,0029F631-80B4-4024-B859-7FDA911C4FAD,956709,1000 CW,Heemstede,GB ,033- 2536239,UNKNOWN   ,Customer,CANE,CF87C16B-3667-45FB-B7A4-AE096633BAB1,,,,,770B4891-FB13-4B8C-A3CF-677D8A0A8F18,,,
7174,2411BA71-7F94-485B-A512-037239088356,204866,2132 NM,Westervoort,NL ,,A         ,Customer,CANE,6E36DD95-3395-41DD-965E-C6228B9514A8,,,,,9D07DA7B-B6E8-4403-858B-C6D4C35AFC58,,,
6480,052A4EAA-E467-44B7-8306-E8E279308BBA,958024,8124AB,HOUTEN,NL ,020-5217010,-         ,Suspect,CANE,68B39CDF-984B-41E8-9B58-10D555ADCCFD,,,,,48253FD2-1488-42B8-A40E-F09CFAE70269,,,
6435,448186C2-87EC-4736-B623-0A0B1C31D808,123523,3319 LA,Rotterdam,NL ,035-6473860,-         ,Customer,CANE,9296BFF6-4D27-47A3-8D4C-49C1E923A6EA,,,,,BFF3E18D-D363-498B-AC58-F8C17788F266,,,
5210,28A2FB8C-6B73-4C1B-A162-6FB22327B9D9,100236,4941 SG,Houten,NL ,--,UNKNOWN   ,Prospect,CANE,4DEF6510-633D-4B45-8102-4734851DE949,,,,,2ABF9518-1784-4510-AB3D-7834BE3AD2A3,,,
3873,C7120819-CD3F-4E0B-B55F-C79EB1972F7F,958655,3011 PK,DEN HAAG,NL ,(0314) 36 05 00,-         ,Prospect,CANE,902AF194-094D-4860-8E09-E720F1B634B9,,,,,A5750A1B-3E69-4595-BD83-BAB964FBBBC3,,,
1723,D951D4E9-C70F-46C1-9F1C-2EEAE6EF9E85,204437,4904 PC,,NL ,(035) 541 51 41,-         ,Customer,CANE,A8A3707A-2608-4A70-B9D9-D3DD349E27B8,,,,,BACAF5D8-8F4B-400B-A263-47734AC443EB,,,
3624,666AF4AF-2992-4FAA-85B1-AFD947F67D0D,958832,6961 DG,EDE,NL ,-,-         ,Suspect,CANE,A9DC8237-E034-42DD-AA7B-0A51CFFF36FD,,,,,8FBE8C0B-954B-4846-A1B4-41B0BFAF37BE,,,
3090,6524A609-F640-4D27-8F25-ED2E6C1851C3,202501,7461 CW,Gemonde,NL ,,UNKNOWN   ,Prospect,CANE,3751C4CD-9721-4714-BE7A-7D514A85EAF5,,,,,3A0A46F8-DFD6-4162-8685-E3864CFC86F1,,,
3410,82D31AB8-A997-40C9-8535-3E96A6480F17,959343,5632 JG,Hilversum,NL ,0180-496666,UNKNOWN   ,Associate,CANE,E0615DBE-33E1-43B8-9298-30B4EA47648D,,,,,62C0AF3F-DBE8-4AB5-BF03-6B1A044D936E,,,
3279,F6E1B08D-3109-454F-BAAA-4BAEBDA28094,4827,,'t Harde,NL ,,UNKNOWN   ,Associate,CANE,C794A328-8A06-4955-A0D0-96F672AC6AC2,,,,,A959DA13-55C9-4DC9-A436-449898DA5684,,,
4427,F2851D84-F4C1-4CAB-AEBD-1B6BFB7DC41D,955669,1211 KE,Heemstede,NL ,024-6421963,N         ,Customer,CANE,EF7C63D2-6178-4AF5-AE77-3877E0B0C33B,,,,,45525836-0AFA-404A-950A-A8937818CE23,,,
3647,65BC6838-73DB-48CC-90E2-C2628A134FC6,958761,3901 CX,De Klomp,NL ,,-         ,Prospect,CANE,25A4D02E-E141-4FCF-A0B6-1A85D49C2DA1,,,,,9CCE3B23-347B-49E7-8795-224FF1756728,,,
2449,126E0989-6E7C-45BC-AE7E-C71AD7AEB23E,959086,5720 AD,Noordwijkerhout,NL ,06 41477261,UNKNOWN   ,Lead,CANE,0DCA9098-2542-47D8-8293-31C3AFDBBFAC,,,,,76F1417F-2E75-41A5-B8D8-CCC94E64EA0C,,,
406,0B3ED712-98CD-4484-998E-D8505CB365A5,123458,9431 CC,LEUSDEN,NL ,077-4632877,-         ,Prospect,CANE,F8B285E3-61AF-47D9-A2FD-8B8D8B39F130,,,,,81C2BF10-F658-4A4E-B7BF-FF0AEC7E81FD,,,
3396,C6E4379C-1BF4-4EF0-A7C2-2C15DE5371DC,955728,4824 EH,ENTER,NL ,038-4245000,N         ,Suspect,CANE,20261675-09A3-4BDC-9A6E-46DA98802C59,,,,,50C832F9-E601-4F03-98E7-0D55D683664B,,,
5857,824DB257-F963-49B7-A806-348172AD58F0,3082,2715 CA,Utrecht,NL ,,-         ,Customer,CANE,A51F9EAB-630F-4BD6-9338-B6C0F61730C6,,,,,3AE1CA64-CCA1-4177-9A0F-4CE06A9E2AF2,,,
3387,D35DC0E2-62C6-4031-8CA1-8998EEF20B8E,100000,8608 AB,Hengelo,NL ,,UNKNOWN   ,Customer,CANE,2CB199E5-52B0-4513-9218-F622DE55CA3F,,,,,977C50F6-3F56-48F3-91CC-75FC26C0D5B4,,,2014-06-20 00:00:00.000
5423,4C27D182-60AC-42C7-ABA9-82156BCECB5D,10222,2631 XD,Amsterdam,NL ,023-5322830,UNKNOWN   ,Customer,CANE,1AAFE0FD-9737-474E-8C33-B399E0169FDD,,,,,5AF6C8AF-DB8D-414C-83BD-AF9E50F241A9,,,
137,F4A39BB0-97E4-4979-920E-55D106DBA40F,5398,1991 AN,Almere,NL ,-,-         ,Supplier,CANE,8331D0F0-C977-4D09-AD7D-6C7D5883BBDF,,,,,560819FA-A3D7-4E4E-8593-2937506118B0,,,
4366,B1AA6BD1-EBFD-47EB-9281-10A9B95177FD,205178,,Apeldoorn,NL ,088-0028111,-         ,Customer,CANE,D40B68D4-3A22-4C49-A2B7-53153306630F,,,,,6153CE9B-A08C-45F7-846A-2630D95DA6D5,,,
5908,44C18862-D8B3-4B78-84E5-07FF5D77EE72,309,6812 AR,,NL ,(+31) 70 396 52 70,N         ,Customer,CANE,0BB7C186-2E4D-4D44-9C07-21290C0A902D,,,,,0E200451-1370-42BE-9B1B-D42C8A57BC6E,,,
1922,C19CA5C5-CCF6-40BF-82CD-00CC8661AAFC,956576,3515 GA,Enschede,NL ,030-6050100,-         ,Customer,CANE,C27D77D0-DCC4-4FD8-864B-48E9CC7C5C96,,,,,92569B08-D029-4DF4-9A56-B9B7870B4AF2,,,
1587,288A6B3F-6077-498B-85F3-3266876B46C0,955630,,UTRECHT,NL ,0320 - 286 939,-         ,Supplier,CANE,8BC475E4-1A68-478F-8206-FE8400BE3810,,,,,00F8028A-2797-4069-9352-B56738ADB64D,,,
1687,8331D0F0-C977-4D09-AD7D-6C7D5883BBDF,958586,,HELMOND,NL ,,-         ,Customer,CANE,A0CE4E50-B15C-40EA-86BB-D6B8ABC840B0,,,,,0F0F5E56-C1BF-4DA3-916C-654B97DD63EA,,,
5243,D480AA01-A359-4AA9-B375-49425CBBDCED,6905814,3904 BW,Nieuwegein,NL ,033 454 32 10,UNKNOWN   ,Prospect,CANE,CC454F2B-A34C-41F0-9560-D0E8D7906790,,,,,1DA27863-5F01-47D9-8B7B-3930108C19A7,,,
3929,25D93E80-4E15-4FD0-8859-CBE79935B069,4192,6811 HE,,NL ,06 12 31 1500,-         ,Supplier,CANE,415A2F88-C131-4DBD-8588-F6DCE53F8A63,,,,,A177FCD1-197E-4C62-A1E7-8337A640ECD4,,,
5492,50379FCF-97C2-43EC-A7D7-384CE308871A,958957,3751 BL,Amsterdam,NL ,(0315) 68 13 77,UNKNOWN   ,Prospect,CANE,E503C6F6-E639-4041-BFAF-D97A8136DF77,,,,,451E379E-B490-4040-B6AC-BE62E9C1D1F0,,,
1153,AA03172A-B4D3-4392-B532-ACAF48095469,959512,4921 LC,AMSTERDAM,NL ,06-57199338,UNKNOWN   ,Lead,CANE,880F4BAB-A22B-4AC3-B7DA-E8CFAF956AAC,,,,,E4DB30E9-1BC6-427D-AFD2-26B880F20B01,,,
5359,387B9CED-6CA2-4095-A2F6-8F242BA394ED,958758,1611 XB,BUSSUM,NL ,033-4567050,-         ,Suspect,CANE,CCCDB535-C0F2-4168-BC84-A9F3ECEFB8BC,,,,,6B683F45-749C-45FF-84BA-4AF789A7E811,,,
127,B333CDAA-39B4-4C82-81D5-B7B7C8BC5789,100229,1606 AA,Hengelo OV,NL ,0543-522647,-         ,Prospect,CANE,A61865CE-E61E-47EE-A6B4-D38A759CE813,27004771.0,,,,CF87C16B-3667-45FB-B7A4-AE096633BAB1,,,
7179,0F51B6B7-016B-480E-8AEF-0D5BD9925F63,77,3000 CX,Den Hout,NL ,033-4799975,UNKNOWN   ,Customer,CANE,AA5FFFF5-F4B6-4B8B-97FA-0FED8FB42019,,,,,4FC02906-8F40-4AE4-8C5E-EDE3791D3341,,,
2569,1CEFD7C2-C8F4-4BF4-B2F0-8644AEA4F296,2307,5062 HC,Almere,NL ,,UNKNOWN   ,Customer,CANE,9DDE7DAF-5370-45BD-A1A3-AD594374AB54,,,,,9150A3D6-417D-42E8-AA21-CBBB7DF43CD3,,,
4999,89901641-10F5-4165-9D7A-EC71D176AE20,957748,6802 EH,Mijdrecht,NL ,,-         ,Customer,CANE,FFEA94C7-1BFD-4387-8B19-33311CF041B7,,,,2015-04-23 00:00:00.000,EF74AB38-9E62-4D5D-B6EE-8577D5FB8260,,,
4403,CAA20986-A3D9-422C-AFF9-8D82D26A5317,5409,1021 KM,,NL ,0573-252270,UNKNOWN   ,Associate,CANE,991D9267-8C6D-41CC-A91E-3DCD3BB04EE5,,,,,67A5C5D1-4A02-403D-A3BD-9563A5A66AE1,,,
30,1C53556D-CDCE-485C-97DE-D80601CBA08C,204104,3504 AA,Almere,NL ,06-5320824,UNKNOWN   ,Prospect,CANE,698499CA-EA5F-4DEC-9C4F-3C224D647BD5,,,,,69A86048-421F-4CD9-B864-208FC51B5C37,,,
2934,D0A17FD9-8468-4014-AACA-626FD5409276,201974,8023 BJ,NEDERHORST DEN BERG,NL ,0321-380381,-         ,Prospect,CANE,52B20D4A-78C8-4A30-B322-AA58CA0B795C,,,,,4BC1D882-2C8A-4029-ABC6-A69828978D29,,,
2238,CB7846BB-AAB1-4DB0-B769-E58F6D384ADE,956767,7109 BA,NUNSPEET,NL ,,UNKNOWN   ,Supplier,CANE,965BC084-5996-4928-BD71-ED4E52D9CE1E,,,19083416.0,,568FBBDF-B4C3-49BF-AAB0-D176C1BF1612,,,
232,60F0BD62-7E91-46E6-BB9A-892B1E3D29FE,959503,1271KP,,NL ,-,-         ,Prospect,CANE,9F83D102-4476-484B-BFCE-91CF65F232D5,,,,,7AE19278-B72B-4F1C-8539-42DE43DD64C2,,,
5149,50C832F9-E601-4F03-98E7-0D55D683664B,956451,1058KJ,SON EN BREUGEL,NL ,(033) 457 10 93,UNKNOWN   ,Prospect,CANE,824DB257-F963-49B7-A806-348172AD58F0,,,,,C794A328-8A06-4955-A0D0-96F672AC6AC2,,,
4053,7C88DB9E-CACD-4852-95AD-B04A3EBA7BE2,311,7918AD,Valkenburg,NL ,-,UNKNOWN   ,Associate,CANE,E9B4712D-0677-484C-815F-AED8C0AF225E,,,,,4F6CD55A-6498-4691-A741-AD46C9EA7C09,,,
4717,098BADFC-1473-4504-AA49-10ACE3ED44F7,133931,2497 WV,AMERSFOORT,NL ,020-6647540,UNKNOWN   ,Prospect,CANE,4D2CB2AE-166F-44D1-BC74-92784C4203AF,,,,,32D26855-7F18-4A71-AEBC-4B73CB5AE6CD,,,
181,7E1582E7-1689-4C5C-A6F0-CD91986E2BBC,133330,2170 AC,AMERSFOORT,NL ,(033) 465 05 70,-         ,Customer,CANE,F58966A8-6900-4379-8697-ADC562C057E5,,,,,D01D58D9-7062-4002-882D-11757D210D3F,,,
176,5658B23C-E59D-44D5-912B-6D0154056F23,204222,2678 LH,,NL ,0575 509100,N         ,Supplier,CANE,FE7E025C-8E6E-4D31-8B93-5C8E9D6B3CE8,,,,,EA6482F4-3D30-4F19-A20C-D9E9EFCF592C,,,
1810,FDD72A61-CB5B-42A6-9357-B7CEBAF5065E,2784,onbekend,Houten,NL ,06-20790200,-         ,Lead,CANE,04D399BC-1F05-4ED1-9E73-FDDF0AF78CB6,,,,,94E3B894-C87A-4E9A-B816-FFAB9E62FEAD,,,
3965,36C66367-83ED-4430-8FCC-44D3DD47C442,959027,8081PZ,BAARN,NL ,0348-441203,UNKNOWN   ,Customer,CANE,EE506320-F760-444F-88BE-65AF53734830,,,,,9EF60C6D-A4AE-4B82-A648-3BAE18B69CE2,,,
5561,C71DE643-ED52-4438-97CB-948AEA6AF3C8,100501,9,Goirle,NL ,036 528739,-         ,Prospect,CANE,F0416580-8CB4-4D27-8254-249BD669B529,,,,,22EA5AF3-30C1-4C55-A9F2-D4D76DDA28D2,,,
4407,9099DC95-767B-4C80-9AF7-75FB9DFB6836,957142, 2130 KA,Tilburg,NL ,06-57269461,-         ,Prospect,CANE,4127434E-9B4E-4EF0-8DB8-929A30F9A666,,,,,E5210523-9BDB-4B93-A4DA-804BDB37BB8E,,,
1141,E9811493-9FB2-4247-B1AA-3257B42EE7E4,10192,,NAARDEN,NL ,+31 (0)88 011 2888,UNKNOWN   ,Customer,CANE,1EA0D8EC-081B-4FB1-9BFC-1F27995F52E1,,,,,2FBE1627-3401-4C64-84F7-CFD7E8763EE1,,,
6224,EF4F6E4F-3579-4A5F-A38A-0406406B9FD3,957306,4132 CD,LEUSDEN,NL ,,-         ,Customer,CANE,F13113E4-1161-4696-A9ED-FDD3CAF2737B,,,,,46C1B03A-E588-4A2E-99ED-1D79022E769F,,,
1988,9B3BF30B-AB56-43DC-9073-5710CC7CEB16,315,3870 CD,HOOFDDORP,NL ,030-6340195,46        ,Supplier,CANE,11BAC123-63B3-48FD-9B45-DADC278A7C1C,,,,,FD3A7409-AB55-4BDD-9D5B-E0E5BEEFA000,,,
5055,EE7FA3B4-81E4-4961-AA35-54BA8AC26731,6905819,1382 GT,NUNSPEET,NL ,0570-656255,UNKNOWN   ,Prospect,CANE,3FB77C4E-3AC2-4BBD-937E-283ED9437A1E,,,,,3C1C0ED0-F840-40A8-8581-77FC1DEB4799,,,
6209,0D1A3419-07D8-4529-9CEE-CE1798D6C24E,202632,1121 AM,Oss,NL ,035-6885588,UNKNOWN   ,Lead,CANE,F39EEADF-E0C5-425F-966D-CB68218676BE,,,,,268CBE7A-DC65-4C80-81E7-21C738052E8B,,,
2437,A7043AB8-7C30-4134-8EE3-E64A95180500,956497,7071 PC,,NL ,050-3092230,71        ,Supplier,CANE,E8ABB6D3-894E-455D-8987-95AFCA5BCD37,,,,,68617426-A431-43D2-913F-ACA6E1AC38B1,,,
7111,6CBEEC27-6D2A-43FB-91E4-6DA95C524DE1,205265,3447 GG,BAARN,NL ,038-4682999,-         ,Supplier,CANE,379CE4CA-216D-4748-8B18-0C5BD016C8D3,,,,,2DB55BE5-F4F9-4BF7-AF0E-1538A522A0EF,,,
5193,A4CF744C-7F4A-4369-BE93-6F08BA922743,10190,1040 KE,Arkel,NL ,,-         ,Customer,CANE,1B06E959-2AFA-48DA-BE84-E8403D7D8C16,,,,,64944D12-D40B-4359-A29F-3D9C6618102F,,,
5719,E484602F-B71B-4C23-AF0D-F0F4EF86923F,959368,7250 AA,Onbekend,NL ,(035) 603 07 76,62        ,Customer,CANE,3FE5DA26-4801-4533-BEB3-35FDC270AE40,,,,,859B5D58-C88E-441F-A7F5-4CA255245040,,,
1602,CA83E4D8-92B2-47A4-A7DA-0914CDF36987,3020,2060,Houten,NL ,033-2532338,UNKNOWN   ,Prospect,CANE,7A36BDF4-E458-4997-9FC9-C2892271D884,,,,,CE711318-A05C-4B03-BF75-A446B041C7B0,,,
844,CCC19CD1-2AFA-4739-A5EB-E6947421FAA6,1032,1217 Meyrin 2,Amersfoort,NL ,0578 648030,-         ,Customer,CANE,6C95D58F-9E7C-4174-A097-50AB8FEAFF04,,,,,42A74D28-072C-49A7-A997-D99BB845A5E7,,,
7232,2F302C8E-7F52-4163-B5E9-95E5B047D59D,957436,3762 EH,Elst,NL ,+31 570 600 499,UNKNOWN   ,Supplier,CANE,A84252FC-FD63-41EC-AA5E-6B194D2E8528,,,,,BA0538C5-3562-49B1-B154-15EB28EEDBE1,,,
783,C7F474AC-9249-4CDF-B9BE-FC1A385A1ED3,959642,3861 AD,Eindhoven,NL ,055-3682525,-         ,Prospect,CANE,22B7B619-0B46-414F-8A10-0FFBC29ABD58,,,,,9C7D9C75-EC63-4A7C-9484-35CE54D7F6DF,,,
5566,F350A123-6256-400D-9D81-A23C6FFE1D0F,307,6850AC,Monnickendam,NL ,035-6990020,UNKNOWN   ,Prospect,CANE,F1A29F7A-6692-47D5-9FB0-47DDF4C94B5A,,,,,8E3E1EC3-A6D5-46CB-B9AB-283DD1CC0F60,,,
3164,55DB95B7-BC4B-49D1-A775-8CDB15A3849D,100178,3029 AD,AMERSFOORT,NL ,0342-473543,UNKNOWN   ,Prospect,CANE,521F0437-5EC8-41B2-BA69-B1C9FA1A598C,,,,,70D5A08F-E0FD-45BA-92EA-CABAA097BA51,,,
5664,93271FBA-2A1F-4981-A171-3B52D363BFEF,958626,7064AM,Utrecht,NL ,0413-331090,-         ,Customer,CANE,D9563893-FE7F-4AB0-B4B6-33ACC41FF573,,,,,7396FF97-A8ED-4C0C-ADFD-515709F78EF3,,,
2914,26E84DB3-B387-47B2-9C60-250671FCE0AE,956538,,Veenendaal,NL ,071 331 79 32,UNKNOWN   ,Customer,CANE,58F8241B-549E-4EA4-883C-28C9332D0002,,19043376.0,,,60A1D779-CDFB-466E-9086-52EAEF1DA8D9,,,
