unknown,unknown,unknown,postcode,city,country,province,country,telephone_nr,telephone_nr,unknown,sbi_description,sbi_description,date,unknown
1606080701,Zakenrelatie,Actief,9712 PZ,Schagen,Europe,Noord-Holland,Netherlands,0412-463133,,Architecten Int. BNI,K. Financiele instellingen,,23-07-2010,internet
200907014648,Prospect,Actief,6827 AA,Doorn,Europe,Gelderland,Netherlands,06-41372524,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,17-09-2012,baan
2010010832718,Suspect,Actief,5223 TJ,Amsterdam,Europe,,Netherlands,06-36136779,0318-635731,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,internet
2010010829655,Prospect,Actief,1251 GC,BERGEN OP ZOOM,Europe,Groningen,Netherlands,035-6267851,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,29-07-2010,internet
2010010805739,Zakenrelatie,Actief,1464 NB,Arnhem,Europe,Noord-Holland,Netherlands,0475-497122,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,21-09-2010,Internet
2010010806553,Prospect,Actief,6546 BG,Schiedam,Europe,Noord-Brabant,Netherlands,054- 621031,073-6911321,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-09-2012,internet
2010010828560,Prospect,Actief,3841 AX,Goes,Europe,Noord-Holland,Netherlands,020-4191877,0181-453677,Architecten Int. BNI,"A. Landbouw, bosbouw en visserij",,29-07-2010,DM cd bestanden
2010010804834,Zakenrelatie,Actief,6546 BB,Puth,Europe,Antwerpen,Belgium,0318-637357,010-5110892,Architecten Int. BNI,K. Financiele instellingen,,24-01-2012,DM cd bestanden
2010010829554,Suspect,Actief,7514 DC,WESTKAPELLE,Europe,Zuid-Holland,Netherlands,077-3731989,302383030,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,25-09-2014,internet
2010010806036,Prospect,Actief,7711 BD,Breda,Europe,Noord-Holland,Netherlands,030-6365455,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,baan
K24115,Suspect,Actief,9489 TH,Vianen,Europe,Limburg,Netherlands,035-6280925,,Architecten Int. BNI,K. Financiele instellingen,,27-09-2010,internet
2010010828546,Prospect,Actief,2382 NV,ASTEN,Europe,Zuid-Holland,Netherlands,038 -4551722,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,361101 Vervaardiging van zitmeubels,26-11-2008,DM cd bestanden
2010010832484,Zakenrelatie,Actief,3421 AG,Tubbergen,Europe,Noord-Holland,Netherlands,035-6249935,,Architecten Int. BNI,Interieurbouw,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,23-02-2011,internet
2010010826628,Suspect,Actief,7731 TH,Eindhoven,Europe,Drenthe,Netherlands,013-5449404,0416-563425,Architecten Int. BNI,K. Financiele instellingen,51911 Groothandel in bedrijfsmeubels (geen kantoor),16-07-2010,internet
2010010806838,Suspect,Actief,8011 GK,'s-Hertogenbosch,Europe,Noord-Holland,Netherlands,0299-671922,023-5554095,Architecten Int. BNI,K. Financiele instellingen,,19-12-2007,Beurs
2010010807182,Suspect,Actief,2141 ME,Delft,Europe,Noord-Holland,Netherlands,0570-530473,026-3705953,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,29-07-2010,internet
K23614,Prospect,Passief,1019 LB,WATERINGEN,Europe,London,Netherlands,06-41993955,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",23-11-2011,DM cd bestanden
K37367,Zakenrelatie,Actief,7576 ZG,Dronten,Europe,Overijssel,Netherlands,076-5212805,,Architecten Int. BNI,K. Financiele instellingen,,17-06-2014,DM cd bestanden
2010010806913,Zakenrelatie,Actief,2382 PH,Laren,Europe,Zuid-Holland,Netherlands,023-5316312,,Architecten Int. BNI,"A. Landbouw, bosbouw en visserij",36121 Interieurbouw,29-07-2010,internet
2010010829656,Zakenrelatie,Actief,1215 CW,Amsterdam,Europe,Gelderland,Netherlands,0348-565599,,Architecten Int. BNI,G. Groot- en detailhandel; reparatie van auto's,"742011 Architecten-, ingenieurs- en overige ontwerp",03-11-2011,DM cd bestanden
K37983,Suspect,Actief,1013 MS,Leusden,Europe,Noord-Holland,Netherlands,047-8690333,026-3255619,Architecten Int. BNI,K. Financiele instellingen,,14-09-2012,Beurs
K22076,Klant,Actief,9991 EJ,'s-Hertogenbosch,Europe,Gelderland,Netherlands,0224 219970,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,01-02-2016,DM cd bestanden
2010010827904,Suspect,Actief,7002 MC,Groningen,Europe,Noord-Holland,Netherlands,070-3837734,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,19-09-2012,internet
1606081052,Prospect,Actief,2593 XS,Amsterdam,Europe,Overijssel,Netherlands,011-3222603,073-5210267,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,14-03-2013,Beurs
2010010800084,Zakenrelatie,Actief,4153 XL,Heusden-Zolder,Europe,Overijssel,Netherlands,06 23 686 999,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,19-12-2007,internet
2010010829671,Klant,Actief,6287 CA,BOXTEL,Europe,Utrecht,Netherlands,0493-695218,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,09-05-2012,Telefoon
2010010807012,Zakenrelatie,Actief,1086 ZV,Liessel,Europe,Noord-Brabant,Netherlands,040-2816495,,Architecten Int. BNI,K. Financiele instellingen,,19-12-2007,internet
20090529031,Zakenrelatie,Actief,5071 NK,Eindhoven,Europe,Limburg,Netherlands,033-2778085,050-3188521,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,17-02-2015,Kamer van Koophandel (ingekocht)
200907014265,Prospect,Passief,2564 AM,Schiedam,Europe,Gelderland,Netherlands,035-6035304,,Architecten Int. BNI,K. Financiele instellingen,3614 Vervaardiging van overige meubels,19-12-2007,baan
200907014376,Zakenrelatie,Passief,5342 BW,Valkenswaard,Europe,Zuid-Holland,Netherlands,020-6232624,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",20-07-2010,internet
1606081744,Zakenrelatie,Passief,3953 BK,Nijmegen,Europe,Friesland,Netherlands,0578-691462,,Architecten Int. BNI,K. Financiele instellingen,3614 Vervaardiging van overige meubels,17-09-2012,DM cd bestanden
K40426,Prospect,Actief,1211 EM,Simonshaven,Europe,Noord-Holland,Netherlands,06-22083189,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,10-06-2008,DM cd bestanden
2010010830344,Suspect,Actief,2801 RD,NIEUW LEKKERLAND,Europe,Noord-Holland,Netherlands,010-2733158,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,27-03-2013,DM cd bestanden
2010010803215,Prospect,Actief,9722 SN,Goutum,Europe,,Netherlands,040-2856230,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-01-2013,Beurs
K21042,Zakenrelatie,Actief,4331 BM,Muiden,Europe,Zuid-Holland,Netherlands,0113-219788,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",17-09-2012,DM cd bestanden
2010010828569,Zakenrelatie,Actief,6851 JE,Ambt Delden,Europe,Gelderland,Netherlands,020-6415714,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,08-03-2010,baan
200907014530,Zakenrelatie,Actief,1716 DP,NEEDE,Europe,Noord-Brabant,Netherlands,0321-325611,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,DM cd bestanden
K37288,Prospect,Actief,1017 ZP,Alphen aan den Rijn,Europe,Gelderland,Netherlands,+3106-43893541,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,01-03-2010,internet
2010010822230,Suspect,Actief,4901 LT,Oostrum,Europe,Utrecht,Netherlands,0481-378421,,Architecten Int. BNI,K. Financiele instellingen,,18-01-2010,internet
2010010827902,Klant,Actief,7481 HN,Rotterdam,Europe,Groningen,Netherlands,06-40779044,,Architecten Int. BNI,K. Financiele instellingen,,19-12-2007,DM cd bestanden
2010010828815,Klant,Actief,2134 JH,De Meern,Europe,Noord-Holland,Netherlands,06-337895878,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,13-09-2012,internet
2010010814080,Suspect,Actief,3116 EA,Leeuwarden,Europe,Noord-Brabant,Netherlands,0252-370582,0348-560574,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,01-03-2010,internet
2010010829249,Prospect,Actief,8939 BD,Rotterdam,Europe,Gelderland,Netherlands,06 43 62 91 24,,Architecten Int. BNI,Onbekend,,11-02-2015,internet
K37457,Zakenrelatie,Actief,3764 AD,Ammerzoden,Europe,Utrecht,Netherlands,035-6943868,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,18-09-2012,internet
2010010809452,Suspect,Actief,2291 PG,Best,Europe,Zuid-Holland,Netherlands,035-6912985,,Architecten Int. BNI,K. Financiele instellingen,742012 Techn. ontwerp . burger/util.bouw (géén architect),29-07-2010,internet
2010010832227,Suspect,Actief,5667 KX,AMERSFOORT,Europe,Utrecht,Netherlands,035-5337159,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,18-11-2009,internet
2010010807169,Prospect,Actief,3036 TH,Bussum,Europe,Noord-Holland,Netherlands,(0251)658757,,Architecten Int. BNI,Onbekend,36121 Interieurbouw,16-01-2008,Beurs
2010010829293,Zakenrelatie,Actief,8021 AK,Groningen,Europe,Utrecht,Netherlands,0182-613677,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,internet
K38344,Prospect,Actief,3021 LM,Amsterdam,Europe,Drenthe,Netherlands,073-5994750,,Architecten Int. BNI,K. Financiele instellingen,51911 Groothandel in bedrijfsmeubels (geen kantoor),05-07-2013,internet
2010010828533,Klant,Actief,5403 KW,Utrecht,Europe,Overijssel,Netherlands,06-48334779,053-5721057,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,31-08-2011,internet
2010010817767,Zakenrelatie,Actief,5807 GD,Den Haag,Europe,Drenthe,Netherlands,06-24268125,0165-515577,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,36121 Interieurbouw,24-10-2008,internet
2010010829615,Prospect,Actief,1065 HZ,Nuenen,Europe,Zuid-Holland,Netherlands,085-2735411,,Architecten Int. BNI,K. Financiele instellingen,,08-05-2012,internet
2010010831602,Prospect,Actief,1503 TA,Amsterdam,Europe,Friesland,Netherlands,020-4190264,,Architecten Int. BNI,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",29-07-2010,internet
1606081883,Klant,Actief,6582 BB,Tilburg,Europe,Zuid-Holland,Netherlands,0495-631270,0344-602684,Architecten Int. BNI,Onbekend,,19-12-2007,Beurs
2010010829343,Klant,Actief,4115 RP,Vijfhuizen,Europe,Zuid-Holland,Netherlands,015-2158281,(0251)679313,Architecten Int. BNI,K. Financiele instellingen,1411 Hoveniersbedrijven e.d. --,05-09-2012,internet
2010010831516,Prospect,Actief,7417 DB,Amsterdam,Europe,Zuid-Holland,Netherlands,06-27494143,073-5993630,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,30-10-2012,baan
K23365,Prospect,Actief,1507 AM,Diepenheim,Europe,Zuid-Holland,Netherlands,046-4113490,,Architecten Int. BNI,Onbekend,,29-07-2010,internet
2010010832008,Klant,Actief,7651 DD,Emmen,Europe,Utrecht,Netherlands,0341-431750,070-2205755,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,DM cd bestanden
2010010815059,Suspect,Actief,6372 DV,Velp,Europe,Noord-Holland,Netherlands,06-25596006,0546-871047,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,Beurs
K37451,Zakenrelatie,Actief,2586 ER,Oss,Europe,Noord-Brabant,Netherlands,043-3628659,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,04-02-2008,internet
K37535,Zakenrelatie,Passief,1012 EK,Heiloo,Europe,,Netherlands,073-5994129,033-4450112,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,31-01-2013,internet
2010010832332,Klant,Actief,8252 KK,Zaandam,Europe,Friesland,Netherlands,050-5497120,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-08-2008,internet
K37279,Prospect,Actief,2114 AD,Nijmegen,Europe,,Netherlands,075-6177872,0164-247358,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,20-10-2011,DM cd bestanden
K38817,Klant,Actief,8241 AR,Beek en Donk,Europe,Noord-Brabant,Netherlands,013-5800300,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,21-07-2008,Beurs
2010010830009,Prospect,Actief,6512 ES,Scherpenzeel,Europe,Limburg,Netherlands,,015-2140999,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,29-07-2010,baan
2010010801529,Suspect,Actief,6532 ZV,Geldrop,Europe,Zuid-Holland,Netherlands,032-0230508,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,17-11-2011,Beurs
K38658,Klant,Actief,4101 JS,Drogteropslagen,Europe,Utrecht,Netherlands,06-27237824,013-5456650,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,20-10-2011,DM cd bestanden
2010010806189,Prospect,Actief,1704 SL,Hoofddorp,Europe,Noord-Brabant,Netherlands,055-3604480,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,10-06-2008,Beurs
200907014570,Zakenrelatie,Actief,2526 KA,Rijkevorsel,Europe,Utrecht,Netherlands,030-6621068,,Architecten Int. BNI,K. Financiele instellingen,,15-02-2012,baan
2010010830361,Zakenrelatie,Actief,4361 SK,Nuland,Europe,Zuid-Holland,Netherlands,0181-452645,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",17-03-2009,internet
K23926,Klant,Passief,6133 WV,Zwolle,Europe,Groningen,Netherlands,06-30007013,,Architecten Int. BNI,K. Financiele instellingen,1411 Hoveniersbedrijven e.d. --,21-10-2011,Mond op mond
1606081418,Prospect,Actief,B-2960,Heilig Landstichting,Europe,Noord-Brabant,Netherlands,0529-434554,020-6201329,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,28-01-2016,internet
2010010830240,Zakenrelatie,Actief,7514 DC,Zaandam,Europe,Utrecht,Netherlands,0493-490566,0485-384891,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,09-05-2012,internet
1606081967,Zakenrelatie,Actief,1215 CZ,Scherpenzeel,Europe,Noord-Brabant,Netherlands,035-6923096,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,DM cd bestanden
K21989,Prospect,Actief,2563 AK,Asch,Europe,Gelderland,Netherlands,073-6217245,011-767058,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,13-07-2012,DM cd bestanden
K21866,Suspect,Actief,5324 JK,Amersfoort,Europe,Gelderland,Netherlands,053-4310355,0251-214191,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,18-05-2011,Beurs
2010010805489,Zakenrelatie,Actief,7705 PG,Groningen,Europe,Zuid-Holland,Netherlands,020-6652379,,Architecten Int. BNI,Overig,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,DM cd bestanden
2010010830659,Prospect,Passief,3901 XJ,Brecht,Europe,Noord-Brabant,Netherlands,06-12766648,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,08-05-2012,DM cd bestanden
K24590,Prospect,Actief,5674 VE,GOUDA,Europe,Limburg,Netherlands,024-3296300,,Architecten Int. BNI,Onbekend,4542 Timmeren,22-04-2008,internet
K39586,Klant,Actief,3645 JB,Delft,Europe,Friesland,Netherlands,0513-689127,0493-354182,Architecten Int. BNI,K. Financiele instellingen,,29-07-2010,Beurs
2010010832229,Klant,Actief,2612 EM,Waddinxveen,Europe,Overijssel,Netherlands,0492-528688,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,10-06-2009,internet
2010010829252,Prospect,Actief,5741 PN,Amsterdam,Europe,Overijssel,Netherlands,045-5330715,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,Beurs MaterialXperience
2010010829647,Klant,Actief,7322 PX,Tilburg,Europe,Utrecht,Netherlands,0546-861777,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,19-12-2007,Via relatie
2010010827557,Suspect,Actief,2211 GX,LIENDEN,Europe,Gelderland,Netherlands,026-4461368,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,23-09-2014,Internet
2010010830245,Zakenrelatie,Actief,1213 BE,Boxmeer,Europe,Zuid-Holland,Netherlands,0345-504226,,Architecten Int. BNI,K. Financiele instellingen,,20-10-2011,internet
2010010828511,Suspect,Actief,3941 HR,Hedel,Europe,Zuid-Holland,Netherlands,06-34815550,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,02-09-2009,Via relatie
2010010828542,Zakenrelatie,Actief,5752 RE,Enschede,Europe,Utrecht,Netherlands,06-53555033,050-5892421,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,baan
K37521,Zakenrelatie,Passief,8072 DD,Amsterdam,Europe,Noord-Holland,Netherlands,010-4765188,079-3616224,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,29-07-2010,Beurs MaterialXperience
2010010827858,Prospect,Actief,3925 SG,EVERDINGEN,Europe,Flevoland,Netherlands,,024-3734431,Architecten Int. BNI,K. Financiele instellingen,,21-10-2011,baan
2010010828433,Prospect,Actief,6541 PV,Bilthoven,Europe,Limburg,Netherlands,06-52076225,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,14-02-2009,Beurs
2010010830095,Klant,Passief,5741 PL,Raalte,Europe,Noord-Brabant,Netherlands,023-5717663,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,internet
2010010807651,Suspect,Actief,5612 CD,Breda,Europe,Limburg,Netherlands,040-2908588,,Architecten Int. BNI,F. Bouwnijverheid,"742011 Architecten-, ingenieurs- en overige ontwerp",06-10-2014,internet
K38185,Prospect,Actief,5406 XP,Loon op Zand,Europe,Flevoland,Netherlands,0348-418468,020-7720360,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,baan
2010010829638,Klant,Actief,6224 KV,MARKELO,Europe,Noord-Brabant,Netherlands,0592-350054,,Architecten Int. BNI,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",29-07-2010,internet
2010010805838,Prospect,Actief,1216 CG,Maastricht,Europe,Noord-Brabant,Netherlands,026-3629301,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,05-06-2008,internet
K37647,Zakenrelatie,Actief,1222 KL,Veenendaal,Europe,Noord-Holland,Netherlands,0251-226803,040-2137409,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,12-02-2013,Koude acquisitie
2010010828558,Zakenrelatie,Actief,1985 GB,Heeze,Europe,Noord-Holland,Netherlands,0165-511921,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,21-04-2008,internet
2010010829829,Zakenrelatie,Actief,3033 SR,ARNHEM,Europe,Noord-Brabant,Netherlands,035-6235599,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,20-07-2010,internet
2010010807835,Zakenrelatie,Actief,7575 AP,NEDERWEERT,Europe,Zuid-Holland,Netherlands,0348-445655,0343-416379,Architecten Int. BNI,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",19-12-2007,internet
2010010828134,Zakenrelatie,Passief,3972 GL,Haarlem,Europe,Noord-Holland,Netherlands,089-712352,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,08-12-2011,internet
2010010816613,Zakenrelatie,Actief,8456 HS,Nijmegen,Europe,Noord-Holland,Netherlands,0527-231179,0499-327065,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,36121 Interieurbouw,22-02-2011,internet
2010010829808,Prospect,Actief,6828 AS,Den Haag,Europe,Utrecht,Netherlands,0485-384471,030-2251972,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,20-07-2010,baan
2010010828628,Zakenrelatie,Actief,3612 BM,Someren,Europe,Noord-Brabant,United Kingdom,020-6201405,030-2129444,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,01-02-2016,internet
K23769,Prospect,Actief,5469 WB,Weurt,Europe,Noord-Holland,Netherlands,0341-253038,,Architecten Int. BNI,K. Financiele instellingen,,17-10-2012,internet
2010010828979,Suspect,Actief,5236 WB,Amsterdam,Europe,Limburg,Netherlands,072-5742984,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-04-2009,DM cd bestanden
2010010828981,Prospect,Actief,5591 HG,Eindhoven,Europe,Noord-Holland,Netherlands,024-3572468,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,DM cd bestanden
2010010830002,Suspect,Actief,5554 CJ,Amsterdam Zuid Oost,Europe,,Netherlands,026-3795242,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,baan
K38095,Zakenrelatie,Actief,1846 LE,Weert,Europe,Noord-Brabant,Netherlands,06-41507929,020-4192877,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,DM cd bestanden
1606081921,Suspect,Actief,1942 AR,Rotterdam,Europe,Limburg,Netherlands,024-3738314,020-4190380,Architecten Int. BNI,K. Financiele instellingen,,18-09-2012,internet
K21500,Suspect,Actief,5757 AR,Harderwijk,Europe,Noord-Holland,Netherlands,0226-3555558,045-5459596,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,18-02-2008,internet
2010010802554,Klant,Actief,1746 CL,Berkel-Enschot,Europe,Noord-Holland,Netherlands,0492-465640,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,26-04-2012,internet
K38784,Zakenrelatie,Actief,3812 PR,Druten,Europe,Noord-Brabant,Netherlands,0413-850591,0478- 516400,Architecten Int. BNI,K. Financiele instellingen,,14-02-2013,DM cd bestanden
K39879,Zakenrelatie,Actief,6462 AR,Opmeer,Europe,Noord-Brabant,Netherlands,06-14474679,035-6020526,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,"742011 Architecten-, ingenieurs- en overige ontwerp",14-09-2012,internet
2010010829993,Klant,Actief,2611 WH,Maastricht,Europe,Gelderland,Netherlands,030-2521014,040-2816823,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,17-03-2009,DM cd bestanden
2010010816814,Prospect,Actief,1506 SC,MHEER,Europe,Overijssel,Netherlands,302383030,,Architecten Int. BNI,K. Financiele instellingen,,15-10-2012,internet
2010010831930,Klant,Actief,9713 WJ,Hilversum,Europe,Flevoland,Netherlands,0182-388488,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,744022 Verzorging van etales,07-10-2014,internet
2010010817026,Klant,Actief,8927 AB,Assen,Europe,Gelderland,Netherlands,013-5451286,,Architecten Int. BNI,Onbekend,,28-01-2008,DM cd bestanden
2010010817757,Klant,Actief,1105 BJ,Heumen,Europe,Overijssel,Netherlands,0182-550222,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,29-07-2010,baan
2010010827508,Zakenrelatie,Actief,2408 ER,Huizen,Europe,Noord-Brabant,Netherlands,0347-352130,0570-609707,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,09-05-2012,internet
K37841,Zakenrelatie,Actief,5071 EM,Deventer,Europe,Zuid-Holland,Netherlands,038-4229083,,Architecten Int. BNI,K. Financiele instellingen,,17-09-2012,internet
2010010829631,Zakenrelatie,Passief,9723 CA,HILVERSUM,Europe,Noord-Brabant,Netherlands,073-5212829,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,27-01-2012,Koude acquisitie
2010010832903,Suspect,Actief,5756 PR,Paris,Europe,Zeeland,Netherlands,043-4571417,010-2733159,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,28-01-2013,internet
2010010805639,Klant,Actief,2265 AC,Bilthoven,Europe,Zuid-Holland,Netherlands,055-5415007,026-3634841,Architecten Int. BNI,"A. Landbouw, bosbouw en visserij",,29-07-2010,baan
1606082377,Zakenrelatie,Actief,4613 AA,Enschede,Europe,Noord-Holland,Netherlands,071-5233436,077-3740255,Architecten Int. BNI,K. Financiele instellingen,,19-12-2007,DM cd bestanden
2010010829653,Zakenrelatie,Actief,1016 KP,Klazienaveen,Europe,Gelderland,Netherlands,040-2951550,,Architecten Int. BNI,K. Financiele instellingen,,27-05-2013,Telefoon
2010010829811,Klant,Passief,5821 AJ,ROGGEL,Europe,Utrecht,Netherlands,010-5217492,010-2123958,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,14-09-2012,internet
K38076,Zakenrelatie,Actief,7602 PW,Amstelveen,Europe,Noord-Holland,Netherlands,040-2043390,024-3245991,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,,01-02-2016,internet
