house_number,city,province,postcode,country
5,ZEVENBERGEN,,2850,Nederland
300,,,4631 GC,Nederland
2 -6,ROTTERDAM,,3621 MX,Nederland
,,,4820 ZB,Nederland
300,Tilburg,,1118 DT,Nederland
33,,,EC3M 3BD,Nederland
450,STEENBERGEN,,4906 AA,België
27,MUNNEKEBUREN,,D-58119,Nederland
,APELDOORN,,4813 DA,Nederland
,,,4871 KK,Nederland
61-63,TILBURG,,,Nederland
7,ANTWERPEN,,4873 LP,Nederland
,AMSTERDAM,,5466 AE,Nederland
20,ERMELO,,,Nederland
,EINDHOVEN,,,Nederland
101,Roosendaal,,5612AX,Nederland
101,BREDA,,10158,Nederland
29,BRUSSEL,,3701 ES,Nederland
,,,3165 AL,Nederland
8,TILBURG,,2970,Nederland
21,BLEISWIJK,,6130AC,Nederland
3,Amsterdam,,1011 DK,Nederland
69 4e etage,VENLO,,,Russian Federation
10,NAARDEN,,2595 DA,Nederland
464,Duiven,,40221,Nederland
,BAARN,,4631 RP,Nederland
128,Alphen a/d Rijn,,2132 WT,Nederland
1,,,,United Arab Emirates
280,ROTTERDAM,,,Nederland
256,,,,Nederland
12,BREMERHAVEN,,9000,Nederland
92,,,3197 LG,Nederland
20,'S HEERENBERG,,8501 XC,Nederland
25,OOSTRUM - VENRAY,,2000,United Arab Emirates
36,Etten-Leur,,1066 VH,Nederland
,AMSTERDAM,,3941 RD,Nederland
5,,,,Nederland
29,ROTTERDAM,,4751 RA,Nederland
,GIESSEN,,40549,Nederland
32,WOERDEN,,,Nederland
38,GORINCHEM,,2391 PX,Nederland
,BREDA,,,Nederland
3,ZUNDERT,,3818 LE,Nederland
-,,,,Nederland
49,,,4815 CJ,Nederland
100,SOHAR,,2511 BH,Nederland
,MAASTRICHT,,4791 PB,Nederland
1,,,6211 LK,Nederland
18,BREDA,,2596 AW,Nederland
24,,,188065,Spain
,,,,Nederland
330,DORDRECHT,,TW15 2QP,Nederland
,,,2582 NE,Sweden
33,UTRECHT,,6512 BT,Nederland
46,TILBURG,,6921 RZ,Nederland
16,HOUTEN,,,Verenigd Koninkrijk
30 Gebouw A,AMSTERDAM,,4564 BP,Nederland
4040,Rotterdam,,1019 DW,Nederland
57674,HENGELO,,46980,Frankrijk
11,,,,Nederland
,,,4652 GA,Nederland
66,,,,Nederland
1377,Düsseldorf,,6191 GX,Nederland
79,IJMUIDEN,,2333 VT,Nederland
842,UTRECHT,,4207 HB,Nederland
5,BOXMEER,,5600 MB,Nederland
62,,,4837DS,Nederland
18,,,,Nederland
,DELFT,,,Nederland
313,Bleskensgraaf,,4611 BR,Nederland
148c,VENLO,,,België
,AMSTERDAM,,1948 LC,Nederland
10,,,,Nederland
18,,,3821 AL,Nederland
79,BREDA,,-,België
23a ,,,,Nederland
,'S-HERTOGENBOSCH,,4813 XE,Nederland
1711 10 th Andar,DEN HAAG,,marconistraat 16,Nederland
12    16,ARNHEM,,,Nederland
,UTRECHT,,4824 CA,Nederland
13,HOOGERHEIDEN,,,Nederland
2,Edinburgh,,9723HD,Nederland
12,Bergen op Zoom,,,Nederland
58,AMSTERDAM,,6716 AE,Nederland
25,DEN HAAG,,3087 BM,Nederland
2,ZOETERMEER,,3194 AA,Nederland
626,BUSSUM,,,Nederland
191,Diemen,,4816 KB,Nederland
86,,,,Nederland
10,,,,Nederland
,,,,Nederland
23,,,,Nederland
35,WIJCHEN,,,Nederland
,Bergeijk,,6211 AX,Nederland
60,,,5753 CP,Nederland
18,ARNHEM,,El Sayeda Zeinab,Nederland
92,Eindhoven,,4815 NC,Nederland
9,DILBEEK,,,Nederland
7c,ENSCHEDE,,,Nederland
62,ENSCHEDE,,189,Nederland
85,Teteringen,,,Nederland
,ARKEL,,9401 PL,Nederland
,S-HERTOGENBOSCH,,4010,Nederland
,,,06800,Nederland
1,OOSTERHOUT,,,Nederland
20,,,5062HB,Nederland
312,DEN HAAG,,1118 EG,Nederland
,DEN HAAG,,5928 RH,Indonesia
23,,,,Italy
2 23,HOOFDDORP,,,Nederland
20,AMERSFOORT,,2594CW,United States
12,,,,België
,,,HOUTEN,Sweden
7,,,6161 RD,Nederland
27,Den Haag,,1119 PE,Nederland
18 a,AMSTERDAM,,3088 GB,Nederland
30,Breda,,4811 XH,Finland
280,Nunspeet,,3900 AK,Nederland
9,Bleiswijk,,2595 AN,Nederland
12,BELSELE,,3584 BA,Nederland
- -,,,,Nederland
11,Breda,,6525 PM,Nederland
77,'s-Hertogenbosch,,,Nederland
230,ALMERE,,,Nederland
2,LEIDSCHENDAM,,2018,Nederland
9,ETTEN LEUR,,9202 PB,Nederland
7,Den Haag,,,Nederland
15,ARNHEM,,2594 AC,Nederland
2,ROOSENDAAL,,7924 RA,Nederland
2,BOOM,,1042 AN,Nederland
80,BUNSCHOTEN,,5232 BX,Nederland
10,ROTTERDAM,,Maria Hoop,Nederland
,'S HERTOGENBOSCH,,5102 XJ,Nederland
7,,,4782 SL,Nederland
52,SCHIPHOL,,,Nederland
,Doetinchem,,1081 HV,Nederland
6,HAARLEM,,7101 NT,Nederland
,,,2514 EH,Nederland
,Ridderkerk,,,Nederland
,TILBURG,,3331 MB,Nederland
,,,1343cb,Nederland
4,AMSTERDAM,,9000,Nederland
17 - 10 A,,,1013 AA,Nederland
10,TILBURG,,3084 BA,Nederland
10,,,5171 VL,Nederland
,ETTEN-LEUR,,6541 CX,Nederland
120,EINDHOVEN,,2593 CE,België
1,Geel,,,Nederland
11,,,1047 BP,Nederland
4,ROSMALEN/'S-HERTOGENBOSCH,Zuid-Holland,2400,Nederland
,,,4811 NN,Nederland
2,,,5026 RA,Nederland
21-25,HEERENVEEN-WEST,,5617 BC,Nederland
377,ALPHEN AAN DEN RIJN,,4907 PN,Nederland
9,GELDROP,,Houten,Nederland
227,,,4818 JD,Nederland
,MEPPEL,,,Spain
6,LONDON,,3062 BP,Nederland
2,KLUNDERT,,5803 AN,Nederland
,,,7513 GA,Nederland
19,DEN HAAG,,1000 BV,Nederland
,,,10172,Nederland
826,ZEIST,,2517HK,Frankrijk
48,MAASTRICHT,,160 00 Praque 6,Nederland
,Barneveld,,1017 KE,Nederland
2,TILBURG,,1031 HL,Nederland
30,WAALRE,,,Nederland
,ZOETERMEER,,5121 DN,Nederland
11,BEST,,9744 EM,Nederland
71,,,4878 AH,Nederland
27,,,4941 VX,Nederland
302,S HERTOGENBOSCH,,3032 AD,Nederland
,,,,Nederland
6,BALMA,,,Nederland
43 F,BREDA,,,Nederland
25,GOUDA,,4207 HB,Nederland
11,,,5241 LN,Nederland
70-78,BREDA,,3512 AX,Nederland
,,,57122,Nederland
49,GRONINGEN,,9723 DV,Nederland
102,ROTTERDAM,,3571GL,Nederland
19,REEUWIJK,,1951 JZ,België
,AMSTERDAM,,,Nederland
20,BARNEVELD,,4813 DA,Nederland
,OOSTERHOUT,,,Nederland
33,,,3131 ES,Nederland
26,UTRECHT,,4902ns,Nederland
12e ,BLEISWIJK,,3861 NC,Nederland
,UTRECHT,,5222 AV,Nederland
81,,,2971 VP,Nederland
19,,,63044,Nederland
20,UTRECHT,,2132 DK,Nederland
690,TILBURG,,8232 PH,Nederland
11 19 ,,,2805 PC,Nederland
,GORINCHEM,,3761 CL,Nederland
,EINDHOVEN,,,Nederland
21,VEGHEL,,6827 BA,Nederland
39,OSS,,,Nederland
22,ZOETERMEER,,,Nederland
2,,,,Nederland
3,Breda,,3024 EA,Nederland
200,KAMPEN,,,Nederland
2,KLUNDERT,,,Nederland
2,DEN BOSCH,Noord-Holland,,Nederland
,VEGHEL,,3010,Nederland
1,,,,Nederland
,,,7141 DC,Nederland
240,NIEUWEGEIN,,5341 GL,Nederland
,EINDHOVEN,Zuid-Holland,,Nederland
606 a,VEENENDAAL,,,Nederland
14,Esch-sur-Alzette,,6411 GX,Nederland
33,Zwijndrecht,,2006,Nederland
14,NIJMEGEN,,4020,Nederland
2-4,SHANGHAI,,1040 BN,Nederland
,Oss,,3769 AP,Nederland
,HELSINKI,,3072 AR,Nederland
43,AMSTERDAM,,2803 PE,Nederland
,BRUSSEL,,,Nederland
40,NIJMEGEN,,1118 LD,Nederland
,ANTWERPEN,,3528 BE,Nederland
41,SON,,,Nederland
,HAARLEM,,8011 VZ,Nederland
79-81,MOERDIJK,,35210 Pasaport,Nederland
130,,,5611 ZT,Nederland
,VELP,,4906 CT,Nederland
47 A,BUNNIK,,3992 PK,Nederland
9,,,,Nederland
85,BEMMEL,,3512 NS,Nederland
8,Rotterdam,,,Nederland
,HAMBURG,,2851 EA,Nederland
52,,,2594 AV,Nederland
2 t/m 4,GRONINGEN,,4811 CN,Nederland
20,,,5047 TK,Nederland
10,EINDHOVEN,,Tilburg,Nederland
9,ROTTERDAM,,5711 EG,Nederland
,DEN HAAG,,5151 DT,Nederland
1 Rembrandt Toren 14de verdieping,,,3521 AL,Nederland
31,,,2909 LD,Nederland
21,,,3621 ZA,Nederland
,Leuven,,6411 TE,Nederland
151,Maastricht,,NL-3198 LS,Nederland
14,'S-HERTOGENBOSCH,,,Nederland
11,Schiphol,,,Nederland
3,,,3071 AA,United States
1,VILVOORDE,,,Nederland
,Waalre,,2991 LH,Nederland
120,TILBURG,,75014,Nederland
82,EINDHOVEN,,3072 AR,Nederland
700,HOOGVLIET,,4782 SL,Nederland
8,ABBENBROEK,,,Nederland
40,DEN HAAG,,,Nederland
23,,,5233 NJ,Nederland
43-47,Breda,,,Nederland
,ROTTERDAM - BOTLEK,,2018,Nederland
81,DE BILT,,5684 PK,Nederland
16,Eindhoven,,1322 AP,Nederland
,Zaandam,,6361 HK,België
,,,2628 CK,Nederland
12,ROTTERDAM,,D-04109,Nederland
,Schiphol,,7554 RR,Nederland
12,ZURICH,,6227 BL,Nederland
,HOOFDDORP,,5301 LZ,Nederland
15,,,1018 LL,Nederland
13,ZOETERMEER,,1119 NT,Nederland
29,LANTAU,,4881 HD,België
11,AMSTERDAM,,45481,Nederland
6,,,2275 VD,Nederland
176,Gent,,1076,Nederland
3,DRUTEN,,5048 AB,Nederland
3,TILBURG,,,Nederland
289,ZOETERMEER,,8914 BE,Nederland
65,,,1051 TV,Nederland
10,ROTTERDAM,,,Nederland
str 1,,,1911EL,Nederland
1,MIJNSHEERENLAND,,1412AN,Nederland
14,,,Dordrecht,Nederland
14,,,5801 MB,Nederland
,São Paulo SP,,,Nederland
42-52,EINDHOVEN,,1217 EW,Nederland
,SLIEDRECHT,,1781 ZZ,Nederland
,,,,Nederland
173,Mumbai,,3331 CD,Nederland
18 a,Breda,,,Nederland
188,SINT-MICHIELS/BRUGGE,,,Nederland
,MAYFAIR,,,Nederland
45,ROTTERDAM,,5611 CA,Nederland
,BRUXELLES,,3312 KW,Nederland
,Breda,,201103,Nederland
7,AMERSFOORT,,,Nederland
1,ROTTERDAM,,3361EP,Nederland
2,AMERSFOORT,,3811 MH,Nederland
2,IJSSELSTEIN,,2629 JD,Nederland
500,DELFT,,,Nederland
,Veghel,,2521 CC,Nederland
20,BEEK (LB),,,Nederland
189-191,ENSCHEDE,,1017EM,Nederland
810,VEENDAM,,3334KG,Nederland
4,Buren,,4811 XC,Nederland
,DELFT,,9351 VH,Nederland
100,BREDA,,2132 MS,Nederland
5,,,AB T2N 1N4,Nederland
73,Roosendaal,,3312 AM,Nederland
28,CASTELFRANCO VENETO (TV),Noord-Brabant,5221 EE,Nederland
1,HILVERSUM,,63130,Nederland
313,,,,Nederland
64,Middelburg,,7418 BG,Nederland
75,ROTTERDAM,,2404 CG,Nederland
13 - bus 5005,,,,Nederland
309 a,ROTTERDAM,,,Nederland
6,BREDA,,6422 PM,Nederland
,Rotterdam,,9052,Nederland
3,AMSTERDAM,,Westmalle,Nederland
16,ZOETERMEER,,5692 HR,Nederland
3 D,ASSEN,,,Nederland
19 c,,,4815 HV,Nederland
6,OSS,,,Nederland
27,,,1102 MG,Nederland
38,ROTTERDAM,,4906 AB,Nederland
,SCHIEDAM,,2404 CB,Nederland
,Breda,,5701 PH,Nederland
,DORST,,,Nederland
98,MAARSSEN,,5813 CD,Nederland
,,,4907 HJ,Nederland
28,Miami Florida,,,Bulgaria
,WAALWIJK,,,Nederland
1,,,5807 EZ,Nederland
9,NIEUWERKERK A/D IJSSEL,,5258AP,Nederland
142,,,4836 LD,Duitsland
33,BARENDRECHT,,7471 LL,Nederland
25,,,WC 2N 5HR,Nederland
4,SCHIPHOL,,2984 AN,Nederland
18,,,5222 AE,Nederland
22,,,,Nederland
6 -10,IJSSELSTEIN,,1118LD,Nederland
144,,,,Nederland
2,ROTTERDAM,,3023 DL,Nederland
171,HOOFDDORP,Zuid-Holland,,Nederland
,VOORTHUIZEN,,D - 44227,Nederland
,ZEIST,,8152 BN,Nederland
182,ROOSENDAAL,,95053,Nederland
23,,,6685 BP,Nederland
,,,3062 PA,Turkey
499,AMSTERDAM,,,Nederland
367,VLODROP,,5582 GD,Nederland
7,,,1013 AS,Nederland
2,LIJNDEN,,1043 NX,Nederland
60,ZWOLLE,,,Nederland
,,,4879 NE,Nederland
15,Breda,,,Nederland
167,DUIVEN,,,Nederland
21,RAAMSDONKSVEER,,3045 AP,Nederland
,SLIEDRECHT,,5232 BC,Nederland
3,,,,Nederland
-,MOMBASA,,3335 XH,Nederland
2,RAAMSDONKSVEER,,-,Nederland
3rd floor,Nijmegen,,2514 JG,Nederland
,LEEUWARDEN,,3771 MP,Nederland
4,NEW YORK,,1431 GD,Nederland
5,DEVENTER,,6229 GA,Nederland
1,Nijmegen,,1221 AB,Nederland
93,Vianen,,,Nederland
43,UTRECHT,,-,United Arab Emirates
43,EINDHOVEN,,8017 JW,Nederland
70 -78,BREDA,,,Verenigd Koninkrijk
400,GENT,,1013 BK,Nederland
,BERGEN OP ZOOM,,4791 VC,Nederland
1,Den Haag,,,Nederland
6,BREDA,,,Nederland
,BARNEVELD,,37203,Nederland
9 a,Nijmegen,,,Nederland
,BREDA,,1082 MA,Nederland
15,ZWIJNDRECHT,,5684 PH,Nederland
,EINDHOVEN,,1118 LP,Nederland
13,?S-HERTOGENBOSCH,,5735 PC,Nederland
10,,,2521 DD,Nederland
14,EINDHOVEN,,2343 LB,Nederland
48 b,Tilburg,Noord-Holland,Ulestraten,Nederland
14,UTRECHT,,300042,Nederland
9,BERGEN OP ZOOM,,3641 SR,Nederland
16,GELEEN,,1506 MA,Nederland
2,MAASTRICHT,,5928 RH,Nederland
44,WOGNUM,Noord-Holland,400093,Nederland
,WILMINGTON,,,Nederland
,,,69621,Nederland
14,CHICAGO ILINOIS,,,Nederland
7,ZWOLLE,,,Nederland
,SCHAFFHAUSEN,,4907 BE,Nederland
,ROTTERDAM,,4782 SK,Nederland
150,'s HERTOGENBOSCH,,4811 RS,Nederland
378,BUNNIK,,4531 PD,Nederland
54,'s-Hertogenbosch,,4875 AA,Nederland
,MOERDIJK,,3743 DT,Nederland
,EINDHOVEN,,1761JM,Nederland
9,,,,Nederland
,,,5081 PJ,Nederland
2,Den Haag,,4818 BV,Nederland
2,BREDA,,,Nederland
1,ALMERE,,30309,Nederland
19,,,5612 AZ,Nederland
24924,,,5571 LK,Spain
,TILBURG,,5928 LV,Nederland
55,EINDHOVEN,,,Nederland
,HOEVEN,,6902 PA,Nederland
4,Antwerpen,,5961 PX/Postbus 6152,Nederland
54,Haarlem,,1118 CZ,Nederland
4,ETTEN-LEUR,,,Nederland
50 -68,,,,Nederland
,ZOETERMEER,,Breda,Nederland
595,,,1117 BM,Nederland
13001,,,6160 BD,Nederland
22,,,3821 AL,Nederland
,HOUTEN,,5612AX,Nederland
240,DE MEERN,,,Nederland
4G ,RIJEN,,5692 DH,Spain
366,DEN HAAG,,2288 EK,Nederland
,Amsterdam,,2518 AX,Nederland
188,1687 CL,,4906 CG,Nederland
,SCHIPHOL-ZUID,,5627JE,Nederland
,BOXTEL,,,Nederland
1,,,1217 GN,Nederland
,,,8332 JZ,Nederland
52,,,,Nederland
,AMSTERDAM,,5627 HL,Nederland
20,VENLO,,ME10 3RN,Nederland
2,VENLO,,W1J6BY,Nederland
229,VIANEN,,,Austria
,Breda,,1078 GZ,Nederland
6,ZOETERWOUDE,,4706 KT,Nederland
19-21,GOUDA,,60549,Nederland
43A,WAALWIJK,,1016 EA,Nederland
20,ALMERE,,6511 PP,Nederland
100,DOETINCHEM,,3439 LM,Nederland
1,THOM,,3087 BM,Nederland
10,GOUDA,,Nbr,Nederland
,DOETINCHEM,,4811 DK,Nederland
20,,,,Nederland
1,,,,Nederland
11,DOETINCHEM,,,Nederland
1031,AALSMEER,,5928 PR,Nederland
14,KENT,,,Nederland
64,,,,Nederland
111,NAARDEN,,5021 LB,Nederland
5,,,RG6 6AY,Nederland
,Breda,,6824 BM,Nederland
1,BRUSSEL,,3089 JK,Nederland
,RHOON,,1394,Nederland
51-53,,,,Nederland
30,Eersel,,3016 CK,Nederland
33 -65,,,2596 AA,Nederland
5,GENT,,4811 XS,Nederland
4,,,1101 CP,Nederland
126,BORDEAUX CEDEX,,,Nederland
17,DELFT,,ME14 1XX,Nederland
,Amsterdam,,2408 ZE,Nederland
1050,DÜSSELDORF,,4201 XA,Nederland
1,DIDAM,,4611 AR,Nederland
572,MAASTRICHT,,1687 CL,Nederland
,,,1217 PD,Nederland
15,Rotterdam,,B-3500,Nederland
20,MOERDIJK,,7772 BJ,Nederland
909,BREDA,,2018 Antwerpen,Nederland
2,,,,Nederland
,TILBURG,,,Nederland
20,,,6718 TB,België
,Dordrecht,,3295 XZ,Nederland
,EDE,,4891 CN,Nederland
800,AMSTERDAM,,CH-8401,Nederland
2,DEN HAAG,,,Nederland
20,ROSMALEN,,5617 AJ,Nederland
4,Dordrecht,,5521 DJ,Nederland
46,Rotterdam,,5126 PT,Nederland
,,,4941 VX,Nederland
,,,4706,Nederland
95,S HERTOGENBOSCH,,4908 DZ,Nederland
5,,,4837 BR,Nederland
,Puteaux Cedex,,3072 AP,Nederland
16-18,Oude Meer,,,Nederland
,AMSTERDAM,,4818 CP,Nederland
22,BREDA,,Schiphol,Nederland
70,TILBURG,,3447 GW,Nederland
,Breda,,3584 AA,Nederland
37,MALTA,,5541 RA,Nederland
1G,ZOETERMEER,,2811 NV,Nederland
,ERP,,4462 EW,Nederland
4,LELYSTAD,,4813 DA,Nederland
38,HAASTRECHT,,4612 RC,Nederland
10,SCHIPHOL,,D-40213,Nederland
1,SASSENHEIM,,7006 RH,Nederland
208a,Amsterdam,,,Nederland
25,,,,Nederland
150 150,FRANKFURT,,4818 CP,Nederland
1,DIRKSLAND,,5555 XC,Nederland
,BOSTON,,5037 AA,Nederland
7,,,2861 ES,Nederland
,,,,Nederland
,,,3871 MV,Nederland
4,RIJSWIJK,,4207 HB,Nederland
108 A,,,B-2000,Nederland
34,Montevideo,,,Nederland
466,,,8917 DD,Nederland
140,AMSTERDAM,,,Nederland
2,Honselersdijk,,3088 HE,Nederland
40 a,DEN HAAG,,5831 AV,Nederland
10,,,5222 AE,Nederland
,HARDENBERG,,4814 RP,Duitsland
22,,,,Nederland
17,Den Bosch,,B-1040,Nederland
12e,ALMERE,,1018 WB,Nederland
2,,,,Nederland
4,ZEEBRUGGE,,,Nederland
,AMSTERDAM,,B-2845,Nederland
24 a,ROTTERDAM,,3800 AL,Nederland
,DEN HAAG,,4131 NR,Nederland
4,,,50132,Nederland
33,,,D-4047,Nederland
69,ROTTERDAM,,4271BA,Nederland
41,Breda,,1017 ZP,Nederland
1131,BREDA,,4382 AC,Nederland
12,WAALWIJK,,6841 HA,Nederland
,RALEIGH NORTH CAROLINA,,3981 AZ,Nederland
75,WOERDEN,,6000 AZ,Nederland
1,NUENEN,,2718 RP,Nederland
,Los Angeles,,,Nederland
29,VENRAY,,,Nederland
87,Zaragoza,,60313,Nederland
,,,,Nederland
,DEN HAAG,,,Nederland
31,,,1930,België
,,,2622 CZ,Nederland
50,Oegstgeest,,1042 AD,Nederland
2,SCHIEDAM,,,Israel
40,,,9111,Nederland
61 -63,DORDRECHT,,,Nederland
18,,,5405 BS,Nederland
1,,,3247 KC,Nederland
,WAALWIJK,,,Nederland
15,ETTEN-LEUR,,1115 AD,Nederland
110,DIEMEN,,4214 KC,Nederland
8,LEEUWARDEN,,2987 VD,Nederland
6,,,3331 MB,Nederland
,ROTTERDAM,,A-1010,België
26,,,9735 AD,Nederland
,MAASEIK-NEEROETEREN,,5751 HJ,Luxembourg
19,SCHIPHOL-RIJK,,B-8380,Nederland
40,ROZENBURG/AALSMEER,,,Nederland
,AMSTERDAM,,1700,Nederland
9,SOEST,,5612 AB,Nederland
,Hasselt,,,Nederland
13,SLIEDRECHT,,2514 EE,Nederland
12,ROOSENDAAL,,2912 GK,Nederland
1,Lyngby,,B-9300,Nederland
2,Gouda,,5652 XR,Nederland
15,POORTUGAL,,3241 LC,Nederland
2,UTRECHT,,3068 AV,Nederland
25,ROTTERDAM,,4814 RD,Nederland
238,MIDDELBURG,,,Nederland
,Roosendaal,,2994 LD,Nederland
,VENRAY,,7821AX,Nederland
,ZWOLLE,,7121 LH,Nederland
,VEGHEL,,,Nederland
37,Copenhagen K,,5462 CE,Nederland
10,ROTTERDAM,,4600 AC,Nederland
40,Amersfoort,,3606 AK,Nederland
42,,,1013 AA,Nederland
,ROTTERDAM,,14853,Nederland
,CAPELLE A/D IJSSEL,,1431GB,Nederland
29,BARENDRECHT,,3542 DA,Nederland
2,,,3840 AL,Nederland
8,AALSMEER,,Jamaica,Nederland
80,Milano,,,Nederland
501,Nijmegen,,7556 BN,Nederland
52,Emmeloord,,,Nederland
15,,,6651 KH,Nederland
48,,,1222 AB,Nederland
11,,,,Nederland
26 C,Tilburg,,1016 BR,Nederland
3a,UTRECHT,,2742 RH,Nederland
68,DEN HAAG,,200240,Nederland
,AMSTELVEEN,,,Nederland
11,Eindhoven,,04717-004,Nederland
183 C,,,2514 HM,Nederland
,Antwerpen,,7041 BG,Nederland
12,'S-GRAVENDEEL,,3087 BM,Nederland
,GENT,,2595 AL,Nederland
66,LISSE,,27568,China
81,DUSSELDORF,,5692 EN,Nederland
4,Den Helder,,20097,Nederland
,STEENBERGEN,,,Nederland
93 C,HONSELERSDIJK,,4149-002,Nederland
,DEN DUNGEN,,1112 XN,Nederland
,,,4906 CX,Nederland
,BEST,,Maidstone 56 5026 SK,Nederland
8,HOOGEVEEN,,4811 VX,Nederland
22,DEN HAAG,,4761 BJ,Nederland
21,SCHIPHOL AIRPORT,Noord-Brabant,6596 AB,Nederland
60,BREDA,,,Frankrijk
37,,,3195 ND,Nederland
,JOURE,,2153 GB,Nederland
17,ZEEWOLDE,,,Nederland
365,,,7573 PA,Nederland
2,,,,Nederland
49,"Beesd,",,5531 DT,Nederland
4-d034-4,UTRECHT,,,Nederland
1,DELFT,,3402 XN,Nederland
12,ASSEN,,9645 LA,Nederland
2,,,5062 AH,België
2,,,3511 EP,Nederland
22,Amsterdam,,,Nederland
59,,,,Nederland
6,TILBURG,,9401 LA,Nederland
8,RAAMSDONKSVEER,,5674 PS,Nederland
52,Breda,,,Spain
150,,,Kerkdriel,Nederland
,LEMELERVELD,,,Duitsland
,,,5222 AV,België
,BREDA,,,Nederland
1,,,,Nederland
,Esch,,1221 BC,Nederland
82,BAARN,,56179,Nederland
43,Venlo,,4891 CB,Nederland
,DEN BOSCH,,9355 TB,Nederland
78,DEN HAAG,,4153 BW,Nederland
68,Kolham,,,Denmark
,THOLEN,,DE 89077,Nederland
56,THE HAGUE,,7521 AG,Nederland
,DEN HAAG,,,Nederland
7700,,,3088 HH,Nederland
37,,,75116,Nederland
72,DEN HAAG,,1976 CB,Nederland
41,Nootdorp,,3011 XB,Nederland
9,,,,Nederland
4,ZAANDAM,,3818 LE,Nederland
50,Kollum,,5200 MC,Nederland
15,CAIRO,,3113 AN,Nederland
111 bus 19,,,RG21 4HG,Nederland
59,UTRECHT,,3063 ED,Nederland
,ROOSENDAAL,,,Nederland
8,Amsterdam,,4817 NL,Nederland
93 A,RIDDERKERK,,,Nederland
1065,GRONINGEN,,4818 SL,Nederland
31,,,5223 LA,Nederland
43,,,7327 GM,Nederland
,,,3083 EB,Nederland
711,ROTTERDAM,,,Nederland
123 B,,,4651 SL,Nederland
96,Rotterdam,,5263Ea,Nederland
1032,Europoort,,,Nederland
,'S-HERTOGENBOSCH,,3981 PB,Nederland
4 a,ALMERE,,7041 KJ,Nederland
300,,,,Nederland
188,,,2715 CA,Nederland
1,PUTTEN,,3527 JP,Nederland
5,Leiden,,2405 EN,Nederland
28,DEN HAAG,Noord-Brabant,,United States
,MIJDRECHT,,3364 DA,Nederland
102,BREDA,,4337 ER,Nederland
40,SASSENHEIM,,5708 HR,Nederland
10,Sävedalen,,5236 BB,Nederland
- -,Hazerswoude Dorp,,,Nederland
,Etten-Leur,,7361 CT,Nederland
750,,,3011 BL,Nederland
1,ALKMAAR,,,Nederland
60,VLAARDINGEN,,,Nederland
44,VENLO,,6811 KS,Nederland
1,HONG KONG,,5047 RK,Bahrain
434,MIDDENBEEMSTER,,-,Nederland
51,SINGAPORE,,,Nederland
11,Rotterdam,,MI 48105,Nederland
,UTRECHT,,Eindhoven,Nederland
3,,,5612 HB,Nederland
63,NOORDHORN,,3846 BX,Nederland
113,MENEN,,DC 20433,Nederland
6,MAASDIJK,,3081 AB,Nederland
1,UTRECHT,,,Nederland
21,,,5342 LW,Nederland
1001,,,5595 XD,Nederland
83,MIDWOLDE,,,Nederland
74,MIDDENMEER,,7041 DS,België
11,Oosterhout,,4622 RD,Nederland
321,DEN HAAG,,5237 MJ,Nederland
,RIJNSBURG,,,Nederland
24,BEDUM,,,Nederland
1,KORTRIJK,,5340AM,Nederland
,HEERLEN,,1097 DZ,Nederland
6522,,,D-65510,Nederland
32,TILBURG,,5015 BP,Nederland
,BARENDRECHT,,3821 AL,Nederland
9,Bodegraven,,,Nederland
,ROTTERDAM,,,Nederland
,ZÜRICH,,,Nederland
40,CLERMONT FERREAND,,3061 GW,Nederland
,BERGEN OP ZOOM,,2497 GB,Nederland
100,HOOFDDORP,,B-9042,Nederland
6 t/m 8,NIEUWKUIJK,,,Nederland
151,Bussum,,2514 KG,Nederland
6,,,2611 BB,Nederland
5,ARNHEM,,B-1040,Nederland
75,Breda,,4614 CM,Nederland
17,BARENDRECHT,,4811 VB,Nederland
95,SON,,4815 NC,België
263,GOOR,,,Nederland
250,ROTTERDAM,,3016 CJ,Nederland
,BASEL,,1079 LK,Nederland
,HILVERSUM,,Apeldoorn,Nederland
54-80,VEENENDAAL,,5032 ML,Nederland
12,HOOFDDORP,,4811 XC,Nederland
,BREDA,,,Nederland
2,DEN HAAG,,,Nederland
19,BREDA,Noord-Brabant,Schiedamseweg 79,Nederland
30,BAARN,,3904AT,Taiwan
24,Schiphol,,7316 BW,Nederland
25,Groningen,,,Nederland
,,,2991 XL,Nederland
2737 F,OOSTERHOUT,,15707 Cb,Nederland
6a ,'S-HERTOGENBOSCH,,,Verenigd Koninkrijk
11,ROTTERDAM,,5061 JV,Nederland
130 a,LEEUWARDEN,Utrecht,32,Nederland
90155,OOSTERHOUT,,,Nederland
50,VENRAY,,1437 EJ,Nederland
31,,,7201 DN,Nederland
39,,,,Nederland
,,,5046 CV,Nederland
57,HENGELO,,4817 BL Breda,Nederland
121,Zevenaar,,3316 LC,Nederland
15,OOSTERHOUT,,,Nederland
201,ANTWERPEN,,4819 CJ,Nederland
2,BRIDGETON MISSOURI,,1040,Nederland
551,ROTTERDAM,,2719 EE,Nederland
22,,,4872 LA,Nederland
10,AMSTERDAM,,3454 PK,Nederland
13,UTRECHT,,2991 LS,Nederland
1,Utrecht,,,Nederland
383,NÄSSJÖ,,1334 PA,Nederland
63 -65,BAARLE-NASSAU,,4455 TE,Nederland
63,AMERSFOORT,,5232 BE,Norway
,,,3134 ZB,Nederland
