unknown,telephone_nr,house_number,postcode,city,telephone_nr,house_number,postcode,city,legal_type,postcode,city,house_number,postcode,city,country,telephone_nr,telephone_nr,gender,sbi_code,sbi_code,sbi_code,sbi_description,sbi_description,sbi_description,date,date,date,date
D-00202,033 - 4671717 / 033-4671733,118.0,8316 GB,Groesbeek,,38.0,5550 AD,Deventer,Publiekrechtelijke rechtspersoon,6466XV,ROSMALEN,101.0,8900HM,DELFT,NLD,0525 659888,,m,7112.0,,,Organisatie-adviesbureaus,,,11-6-2007,24-7-1987,5-5-1976,10-8-1977
K59735,088-8010801,699.0,6800 AG,Rosmalen,,8790.0,5900 AE,Utrecht,Besloten Vennootschap met gewone structuur,6361BZ,DEURNE,8.0,8200AB,AMSTERDAM,NLD,073  5436611,,m,7112.0,78202.0,78202.0,Installatie van verwarmings- en luchtbehandelingsapparatuur,Installatie van verwarmings- en luchtbehandelingsapparatuur,,15-12-2006,11-6-1975,,17-12-2008
1002282,0183 401155,2.0,5100 BC,Sneek,,104.0,6040 AA,Warmenhuizen,Besloten Vennootschap met gewone structuur,1103SG,'S-GRAVENDEEL,67.0,8000AP,EINDHOVEN,NLD,088  2102100,06 53530130,,7112.0,78202.0,,Ingenieurs en overig technisch ontwerp en advies,Uitleenbureaus,,3-7-2009,16-6-1998,26-3-1997,2-11-2004
K59799,030 2853030,4190.0,8431 AC,Roosendaal,,16.0,2990 AC,'s-Gravenhage,Besloten Vennootschap met gewone structuur,7418ET,BUNNIK,1.0,7440AE,IJSSELSTEIN UT,NLD,0543 473868,,,8411.0,78202.0,,Algemene burgerlijke en utiliteitsbouw,,,9-7-2013,4-10-2005,,27-11-2009
K58065,0341-260045,15.0,3350 CD,Heerhugowaard,0318-621112,734.0,9711 GA,Beesd,Besloten Vennootschap met gewone structuur,2909LK,GORINCHEM,10.0,7100AC,OSS,NLD,010  2992288,,,7112.0,78202.0,,Ingenieurs en overig technisch ontwerp en advies,,,29-12-2009,19-10-1972,7-12-1972,1-1-1997
D-00104,030 - 288 6513,94595.0,8042 PB,Veghel,,233.0,4153 ZH,Nieuw Vennep,Besloten Vennootschap met gewone structuur,3336LE,HOEVELAKEN,21.0,2821ZN,GELDROP,NLD,036  5388800,,m,7112.0,78202.0,,Ingenieurs en overig technisch ontwerp en advies,Algemene burgerlijke en utiliteitsbouw,,17-11-2005,,,1-3-1957
K60906,040-2825540 8.00 en 12.00 uur,5225.0,7140 AC,Bunnik,,699.0,21003,Doetinchem,Besloten Vennootschap met gewone structuur,5731HR,HEERHUGOWAARD,6.0,7100AB,ZWOLLE,NLD,030  6860711,,,7112.0,,,Leggen van elektriciteits- en telecommunicatiekabels,,,31-10-2007,,,1-8-1964
K60993,055 - 5383700,14.0,5240 AB,Roosendaal,,90156.0,3980 CB,Papendrecht,Besloten Vennootschap met gewone structuur,3542DA,OLDENZAAL,8.0,7400AE,DALFSEN,NLD,088  1861555,06 30392900,,7810.0,,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",,,2-6-2009,4-12-1991,1-7-2004,10-10-2013
K60917,020-4077100,16.0,2800 AV,Gouda,,9.0,3089 KP,Emmen,Besloten Vennootschap met gewone structuur,3439LM,ZWOLLE,2.0,3980CB,HENGELO OV,NLD,030  7111480,,,17211.0,45192.0,,Ingenieurs en overig technisch ontwerp en advies,Uitleenbureaus,,24-8-2010,22-4-2003,,1970
K60887,040 - 26 84 012,53.0,5600 AJ,Rotterdam,,18.0,3430 RA,Houten,Besloten Vennootschap met gewone structuur,3421BV,AALTEN,1.0,7300AD,LEEUWARDEN,NLD,033  2478080,,,4120.0,,43222.0,Ingenieurs en overig technisch ontwerp en advies,Handel in elektriciteit en in gas via leidingen,Ingenieurs en overig technisch ontwerp en advies,23-7-2010,14-11-1977,,21-8-2000
1001544,14043,4065.0,1300 AE,Bunschoten Spakenburg,,59.0,5690 AB,Groenlo,Besloten Vennootschap met gewone structuur,6661EH,HERTEN,41.0,5384ZG,HEERHUGOWAARD,NLD,0543 543543,,,8411.0,,,Handel in elektriciteit en in gas via leidingen,,,9-7-2007,2-11-2004,,1-1-1988
K61032,0180 641990,224.0,3360 AP,Zwolle,,14.0,3980 CC,Eindhoven,Besloten Vennootschap met gewone structuur,5643TW,MIERLO,303.0,4800DD,AMSTERDAM,NLD,0578 679111,,,4120.0,,78201.0,Elektrotechnische bouwinstallatie,,,19-4-2010,16-10-1998,,19-11-1984
1001960,078 - 6417281,10000.0,3089 KP,Dordrecht,,30001.0,8900 HM,Papendrecht,Naamloze Vennootschap met gewone structuur,6562AV,UTRECHT,13.0,1019AJ,ROSMALEN,NLD,,,m,8411.0,,,Uitleenbureaus,,Overige dienstverlenende activiteiten op het gebied van informatietechnologie,30-7-2009,,23-11-2000,10-2-1994
K10034,,91.0,3442 AC,Utrecht,0592 353112,10100.0,3061 CH,Amsterdam,Besloten Vennootschap met gewone structuur,3901GA,VALKENBURG,288.0,5900AJ,ALKMAAR,NLD,0492 587787,,,8412.0,,78202.0,Vervaardiging van mortel in droge vorm,,,25-7-2011,4-8-1975,,24-12-1985
K59619,070-4455555 Dhr Spoelstra,800.0,3190 AJ,Giessenburg,,190.0,3430 AM,Papendrecht,Eenmanszaak,3089KP,ELBURG,2.0,5830AC,VIANEN UT,NLD,0181 465100,,,8130.0,42111.0,,Algemeen overheidsbestuur,Loodgieters- en fitterswerk; installatie van sanitair,Pret- en themaparken,15-3-2016,,,4-7-1989
K59404,030 - 2486970,29.0,6460 AP,Rotterdam,,1066.0,3980 CE,Sneek,Besloten Vennootschap met gewone structuur,3542DA,NUTH,2.0,8431AC,BUNNIK,NLD,0543 561100,,,4222.0,78201.0,,,Financiële holdings,"Vervaardiging van overige niet-metaalhoudende minerale producten (geen schuur-, slijp- en polijstmiddelen)",7-3-2013,9-4-1975,,1930
K60962,073 - 543 6912 (08:30 - 12:00),121.0,4200 AE,IJmuiden,,120.0,5427 ZG,Rotterdam,Besloten Vennootschap met gewone structuur,6971BM,VEENENDAAL,60.0,4000HE,DOETINCHEM,NLD,079  3687687,,m,7112.0,4321.0,,Ingenieurs en overig technisch ontwerp en advies,,,27-9-2012,16-7-2002,,21-12-1998
K59602,0347-369911,16.0,7320 AD,Hengelo Ov,,1013.0,1090 GS,Hoofddorp,Publiekrechtelijke rechtspersoon,3439LM,GOUDA,18.0,6300AZ,UTRECHT,NLD,0541 572222,,m,7112.0,,,Algemene burgerlijke en utiliteitsbouw,Uitleenbureaus,,7-7-2011,,,1-7-2006
K60255,041-2458888,1025.0,3980 CA,Utrecht,,11056.0,6974 AH,Oss,Besloten Vennootschap met gewone structuur,2984BA,EMMELOORD,160.0,6000AA,UTRECHT,NLD,036  5320143,,,32999.0,4120.0,,Ingenieurs en overig technisch ontwerp en advies,,,23-7-2012,,,1-7-2011
1002277,,47.0,7400 AC,Zwolle,,91.0,2525 KJ,Tiel,Publiekrechtelijke rechtspersoon,3981AZ,BEST,3.0,3430BL,STEIN LB,NLD,0517 496100,,,78201.0,,,Winning en distributie van water,Vervaardiging van verpakkingsmiddelen van kunststof,Vervaardiging van communicatieapparatuur,1-7-2016,27-12-2000,,1-3-2005
K60812,030  6860711,5107.0,8900 HM,Pernis Rt,,2.0,3980 CC,Lelystad,Besloten Vennootschap met gewone structuur,5301LB,UTRECHT,3.0,5240BB,LOPIK,NLD,046  4359393,,,43221.0,,,Supermarkten en dergelijke winkels met een algemeen assortiment voedings- en genotmiddelen,"Ontwikkelen, produceren en uitgeven van software",,14-7-2008,3-11-1993,26-5-2006,1-9-1891
K60285,0543 - 472501,61161.0,5240 AK,Heerenveen,,49.0,3500 GK,Rotterdam,Besloten Vennootschap met gewone structuur,1634EA,PAPENDRECHT,1.0,4900GB,PAPENDRECHT,NLD,0318 538538,,m,2899.0,4213.0,6420.0,Ingenieurs en overig technisch ontwerp en advies,,,28-3-2006,,,1-11-1986
K60194,030 2853400,2017.0,3350 AH,Barneveld,,17.0,1300 BH,Helmond,Besloten Vennootschap met gewone structuur,3063AN,AMSTERDAM,260.0,2800AA,HAREN GN,NLD,010  4339933,,,7112.0,6201.0,2630.0,Elektrotechnische bouwinstallatie,Uitleenbureaus,,12-8-2016,,,1-1-2011
1002595,,232.0,1106 ZT,Dongen,,9007.0,3992 AE,Nieuwegein,Besloten Vennootschap met gewone structuur,7122MS,'S-GRAVENHAGE,2.0,1633ZG,HOOGERHEIDE,NLD,0594 510604,,m,43991.0,,7112.0,Vervaardiging van hydraulische apparatuur,Loodgieters- en fitterswerk; installatie van sanitair,,15-4-2014,31-12-1992,,18-3-1976
K60250,0547-286386,10000.0,3600 BA,Beuningen Gld,,10.0,3992 AG,Roosendaal,Besloten Vennootschap met gewone structuur,3401MP,HENGELO (GLD),66.0,1300AE,GROENLO,NLD,010  2264935,,,16231.0,,,Uitleenbureaus,Bedrijfsopleiding en -training,,1-12-2005,,15-11-1975,1-1-1997
1001939,038 - 4560456,6121.0,3980 CC,Nieuwegein,,19.0,3430 RA,Son,Besloten Vennootschap met gewone structuur,1043CA,TIEL,16.0,8011CT,AMSTERDAM,NLD,0475 355060,,,8411.0,4291.0,,Detailhandel via postorder en internet in kleding en mode-artikelen,,,4-3-2010,17-11-1998,8-9-1972,29-11-1977
D-00091,,93.0,1749 ZG,Amsterdam,,4.0,3295 LE,Venlo,Besloten Vennootschap met gewone structuur,3316BC,'S-GRAVENHAGE,200.0,5700AS,ELBURG,NLD,0416 540107,,,4321.0,,,,,Ingenieurs en overig technisch ontwerp en advies,20-11-2009,22-7-2011,,1-6-2007
K60470,,43.0,5427 ZG,Hoofddorp,,2.0,7327 JZ,Leidschendam,Besloten Vennootschap met gewone structuur,8081HC,BUNSCHOTEN-SPAKENBURG,1.0,7550AJ,HOUTEN,NLD,030  6598966,,m,7112.0,4221.0,4321.0,Projectontwikkeling,Groothandel in bouwmaterialen algemeen assortiment,,31-1-2006,30-6-1989,,4-4-2005
K60268,088-1861600,8.0,9711 GA,Nunspeet,0591-685599,67.0,5240 AK,Amsterdam,Besloten Vennootschap met gewone structuur,6811KN,KINDERDIJK,15.0,6190AA,VEGHEL,NLD,020  3161730,,,8412.0,42111.0,,,Bouw van kunstwerken,Ingenieurs en overig technisch ontwerp en advies,2-3-2006,,,18-5-1992
D-00038,06 - 53 569 228,399.0,2509 LP,Bunnik,,20120.0,1112 XR,Enschede,Besloten Vennootschap met gewone structuur,6049GT,HAARLEM,101.0,6422PD,HELMOND,NLD,0181 614117,,m,2893.0,,7112.0,Overige reiniging,Wegenbouw,,20-12-2010,26-10-2011,28-12-2001,3-2-1976
K61013,,40.0,6040 AA,Wijchen,,200.0,5550 GA,Groot-Ammers,Besloten Vennootschap met gewone structuur,4116CE,DIEMEN,14.0,6040AX,APELDOORN,NLD,024  6425493,0800 2233333,,42111.0,,7112.0,Algemeen overheidsbestuur,Wegenbouw,,1-4-2009,17-11-1961,,1-12-2015
K60966,0543 - 490060,240.0,3360 AA,Gorinchem,onbekend,287.0,7550 AB,Bunnik,Naamloze Vennootschap met gewone structuur,3641RT,HELMOND,5.0,7600AD,NIEUWEGEIN,NLD,0493 497900,,,6832.0,2511.0,,Wegenbouw,Installatie van verwarmings- en luchtbehandelingsapparatuur,,2-4-2009,4-5-2004,,1-7-1999
1002584,088-2102100,27.0,8440 AA,Goor,0525-685471,16.0,6026 PX,Nuth,Besloten Vennootschap met gewone structuur,2961AW,BUNNIK,2.0,9700AA,ALMERE,NLD,0541 582000,,,4291.0,,,Installatie van verwarmings- en luchtbehandelingsapparatuur,,Algemene burgerlijke en utiliteitsbouw,29-4-2008,17-1-1966,,24-3-2014
D-00179,0548-853333,8.0,5652 AX,Kesteren,,6.0,8011 CT,Epe,Besloten Vennootschap met gewone structuur,5211XK,UTRECHT,210.0,5240AE,GOOR,NLD,013  5058300,,m,17211.0,,,Ingenieurs en overig technisch ontwerp en advies,Projectontwikkeling,,6-12-2005,13-2-2014,31-5-2005,1-7-1970
K59733,010 - 5242424,62.0,3300 AP,Aalten,,78.0,3980 CE,Papendrecht,Publiekrechtelijke rechtspersoon,3565AN,BUNNIK,33.0,3195ND,ROOSENDAAL,NLD,020  3058500,,,35111.0,7112.0,78202.0,Algemene burgerlijke en utiliteitsbouw,,,20-4-2012,10-2-2014,,1-9-1987
1000520,030-6598966,47.0,6040 AA,Utrecht,,211.0,3430 RA,Sliedrecht,Besloten Vennootschap met gewone structuur,8014AE,ROSMALEN,15.0,3430BM,EMMELOORD,NLD,0544 474803,,m,,71111.0,,,,,3-11-2003,31-12-1985,,20-12-1963
D-00123,088 - 5500750 (8:30-17:00) SSC BAM Infra,211.0,6360 AA,'s-Gravenhage,,30.0,5803 AP,Maarssen,Besloten Vennootschap met gewone structuur,3981LA,WOUDENBERG,9.0,3600BA,EINDHOVEN,NLD,0346 588888,,,42111.0,78202.0,,Algemeen overheidsbestuur,Loodgieters- en fitterswerk; installatie van sanitair,,5-2-2015,22-8-1997,17-4-1986,1-9-1891
K60571,010-3030400,90065.0,3606 AS,Zwolle,,6633.0,5730 AA,Groot-Ammers,Besloten Vennootschap met gewone structuur,4701PB,EMMEN,3.0,8080AB,ASSEN,NLD,073  6125033,,,3600.0,46692.0,,Algemene burgerlijke en utiliteitsbouw,,,21-3-2012,24-7-1990,,1-8-1995
K60640,06 - 24417243,7.0,7600 AD,Hoorn NH,,295.0,3528 AB,Barendrecht,Besloten Vennootschap met gewone structuur,5341GM,AMSTERDAM,13.0,5071ND,APELDOORN,NLD,030  2239799,06 38697627,,86923.0,,,Vervaardiging van overige elektrische apparatuur,,Uitleenbureaus,5-6-2009,27-9-1983,3-10-1974,1-6-1969
K10048,0511-54 81 11,64.0,7302 HD,Kerkrade,,13.0,7793 HW,Sprang-Capelle,Besloten Vennootschap met gewone structuur,4104BB,HEERLEN,4.0,5710AG,RIJSSEN,NLD,085  8772450,,,43221.0,,,Ingenieurs en overig technisch ontwerp en advies,,,18-9-2006,29-4-1999,,1-1-1950
K60933,076 - 5239900,710.0,7821 AK,Oudenbosch,,133.0,7400 AC,Amsterdam,Besloten Vennootschap met gewone structuur,4815NG,VEGHEL,23.0,5600PT,STOLWIJK,NLD,0527 201726,06 19999207,,4321.0,2790.0,210.0,,,,1-7-2004,31-8-2006,,18-8-2010
K10026,030 - 6569400,437.0,3600 BA,Amsterdam,,20.0,5754 PB,Zwanenburg,Besloten Vennootschap met gewone structuur,3992AE,OUDERKERK AAN DE AMSTEL,25.0,3760AL,MARKNESSE,NLD,0525 659666,,m,7112.0,4291.0,,Organisatie-adviesbureaus,"Leggen van rioleringen, buizen en pijpleidingen; aanleg van bronbemaling",,16-9-2003,,,20-3-2015
K60852,"073-5435566 (Rosmalen, 08:30 - 12:00)",1102.0,1001 NR,Barendrecht,,1.0,9251 LV,Hengelo Ov,Besloten Vennootschap met gewone structuur,5708HZ,NIEUWEGEIN,10.0,5504PA,BUNSCHOTEN-SPAKENBURG,NLD,,,,6202.0,45204.0,,Reparatie en onderhoud van machines voor algemeen gebruik en machine-onderdelen (geen gereedschap),,,31-3-2010,,21-5-2002,20-12-1963
K11700,,1.0,3980 CE,Rotterdam,,118.0,3980 CA,Oldenzaal,Publiekrechtelijke rechtspersoon,1704RD,LEUVENHEIM,2.0,7600AA,HELLEVOETSLUIS,NLD,0183 820300,,,7112.0,,,Ingenieurs en overig technisch ontwerp en advies,Organisatie-adviesbureaus,,15-1-2016,15-10-2010,,1-1-1814
1001920,088-2227000,555.0,7793 HW,Rotterdam,,41.0,4250 DA,Emmen,Publiekrechtelijke rechtspersoon,5411RJ,UTRECHT,39.0,7120AB,VUGHT,NLD,055  5387600,,,2651.0,78202.0,,Ingenieurs en overig technisch ontwerp en advies,Arbeidsbemiddeling,,6-1-2015,5-11-2010,,20-8-1979
1002515,088 - 2227000,2.0,6970 AA,Rotterdam,,17.0,7100 AC,Spijkenisse,Besloten Vennootschap met gewone structuur,5707CL,PAPENDRECHT,2.0,5260GA,HOOFDDORP,NLD,010  2383777,,,7112.0,,,Goederenvervoer over de weg (geen verhuizingen),Financiële holdings,,4-12-2008,28-4-1993,,1938
K58007,0346-581070,201.0,2900 AK,Leeuwarden,,126.0,3300 AP,Haaksbergen,Besloten Vennootschap met gewone structuur,1628WR,NIJVERDAL,11.0,6716HL,DRACHTEN,NLD,0547 286386,,m,33221.0,,,Ingenieurs en overig technisch ontwerp en advies,Vervaardiging van metalen constructiewerken en delen daarvan,Bosbouw,19-11-2014,13-1-2003,,17-12-1992
K59798,0527 - 610824,216.0,1970 CA,'s-Hertogenbosch,0229 547701,356.0,8160 AD,Best,Besloten Vennootschap met gewone structuur,3063NH,ZWOLLE,1160.0,4000AN,BEST,NLD,0512 582900,,m,2790.0,,,Winkels in watersportartikelen,,,16-12-2014,29-9-1977,,1-1-1935
K60796,0315 - 339 200,174.0,7720 AA,Hilvarenbeek,,800.0,2660 AA,Sliedrecht,Besloten Vennootschap met gewone structuur,5235AD,HOOGERHEIDE,75.0,6400AA,HELMOND,NLD,0180 641990,,,7112.0,46699.0,,Groothandel in ferrometalen en -halffabrikaten,Elektrotechnische bouwinstallatie,,5-7-2016,30-9-2003,22-3-1972,29-6-2007
D-00082,,9007.0,2960 AB,Best,,2823.0,3002 AB,Venlo,Besloten Vennootschap met gewone structuur,3295KH,HEERENVEEN,133.0,5690AB,'S-GRAVENHAGE,NLD,0497 591843,,,42111.0,,,Algemene burgerlijke en utiliteitsbouw,Uitleenbureaus,,17-5-2010,,,1-9-1997
K60888,0499-360911,25.0,3812 RP,Nieuwegein,,9007.0,1303 AE,Heerhugowaard,Besloten Vennootschap met gewone structuur,2908MC,BUNNIK,36.0,3840AD,LEEK,NLD,0181 312177,06 40768868,m,7112.0,,85592.0,Loodgieters- en fitterswerk; installatie van sanitair,,,14-3-2014,,,21-9-1976
K60031,,4.0,5240 AE,Breda,,216.0,4800 RH,Bunnik,Publiekrechtelijke rechtspersoon,2596AW,LICHTENVOORDE,1.0,5660GA,SLIEDRECHT,NLD,088  8260000,,m,7112.0,,,Installatie van elektronische en optische apparatuur,,Advisering op het gebied van informatietechnologie,25-3-2015,21-2-2006,,1-1-2006
D-00110,020 - 3428105,305.0,6422 PD,Epe,033-2987474,1102.0,6590 HD,Rijssen,Publiekrechtelijke rechtspersoon,8441ER,EMMEN,3.0,5500AH,BEUNINGEN GLD,NLD,038  4228282,,m,3512.0,4652.0,,Handel in en reparatie van personenauto's en lichte bedrijfsauto's (geen import van nieuwe),Uitleenbureaus,,22-9-2005,12-11-2002,31-5-2001,23-6-2006
K59594,024 - 6425394,4.0,5102 AE,Eindhoven,,126.0,3350 AA,Rotterdam,Besloten Vennootschap met gewone structuur,4817BL,GOOR,19.0,3992AG,EINDHOVEN,NLD,0348 414552,,m,6420.0,,,Wegenbouw,Uitleenbureaus,,9-6-2004,23-5-2008,5-10-1972,1-1-2013
K60939,0251 - 499111 (08:30 - 12:30),13.0,2525 KJ,Rosmalen,030-6377259,418.0,5710 AG,Amsterdam,Besloten Vennootschap met gewone structuur,1191BD,HEERHUGOWAARD,81.0,9350AC,EINDHOVEN,NLD,038  4431456,,,2829.0,,78201.0,Algemene burgerlijke en utiliteitsbouw,,,4-11-2004,12-1-1960,,5-3-1956
K60559,0384-560456,26.0,5600 AA,Utrecht,,5.0,8300 BA,Groningen,Besloten Vennootschap met gewone structuur,5692EG,EDE,6.0,1700AG,STADSKANAAL,NLD,055  3122121,06 55751926,m,2899.0,,,Financiële holdings,Loodgieters- en fitterswerk; installatie van sanitair,,28-2-2005,,28-12-2004,1-1-1981
K60964,055 - 5415 222 (ma-di-do-vr),46.0,3006 AE,Elburg,,85767.0,3340 AA,Vianen Ut,Besloten Vennootschap met gewone structuur,3846CG,APELDOORN,114.0,5692EP,BERGSCHENHOEK,NLD,0591 571111,,m,2651.0,,6202.0,Installatie van pneumatisch en elektrisch gereedschap en gereedschapswerktuigen,,,1-1-2010,,,1-1-2016
K60738,024 - 3975454,12600.0,4300 JA,Haren Gn,,203.0,6401 DN,Assendelft,Besloten Vennootschap met gewone structuur,6026PX,PERNIS ROTTERDAM,15.0,1001NR,UTRECHT,NLD,020  4962121,,,6201.0,4910.0,,Wegenbouw,Natuurbehoud,,19-8-2014,5-3-1956,,17-1-1966
K10135,038 - 3766247,357.0,3772 MN,Boxtel,,202.0,4200 AW,Breda,Besloten Vennootschap met gewone structuur,8051CM,UTRECHT,7.0,4153ZH,DODEWAARD,NLD,0347 329600,,m,43221.0,42111.0,46442.0,Algemeen overheidsbestuur,Bedrijfsopleiding en -training,,24-9-2009,23-6-2006,,25-10-2000
1002645,076 - 5424142,190.0,3600 BE,Eindhoven,0229-663333,2.0,2990 AB,Drachten,Besloten Vennootschap met gewone structuur,3981AZ,VELSEN-NOORD,65.0,4116ZJ,IJSSELSTEIN,NLD,0543 490060,,,4213.0,4312.0,,Grondverzet,,,5-1-2011,,24-11-2000,3-2-2012
K60484,0416 - 540 107,800.0,7550 AB,Werkendam,0570 637227,124.0,7800 RA,Woerden,Besloten Vennootschap met gewone structuur,5754PB,LELYSTAD,71.0,9200AD,BUNNIK,NLD,0475 359999,,m,8411.0,78202.0,,Elektrotechnische bouwinstallatie,Uitleenbureaus,,22-4-2015,24-4-1981,,1949
1002569,,366.0,5466 SB,Deurne,,12600.0,5281 PL,Arnhem,Besloten Vennootschap met gewone structuur,1023BX,HELMOND,29.0,1704RD,SOEST,NLD,030  2650500,,,8411.0,,,,Architecten (geen interieurarchitecten),,25-5-2010,3-2-2005,,1-9-1961
1002519,0543 561 100,94744.0,1000 CV,Vught,,549.0,3190 AJ,Rosmalen,Publiekrechtelijke rechtspersoon,7811AP,HELLEVOETSLUIS,13.0,5830AE,MAARSSEN,NLD,030  6087070,,,8411.0,,,Leggen van elektriciteits- en telecommunicatiekabels,,Beheer van onroerend goed,18-5-2010,31-5-2005,,11-5-2013
K60439,0181-318122,3.0,3439 MN,Sliedrecht,0183 403583,2.0,3750 GB,Deurne,Besloten Vennootschap met gewone structuur,3439LM,SCHARWOUDE,4933.0,7600AR,BAVEL,NLD,088  1861800,,,7112.0,4299.0,43991.0,Installatie van verwarmings- en luchtbehandelingsapparatuur,Uitleenbureaus,,26-3-2013,12-5-1958,31-10-2007,6-12-2002
1002327,074 - 2555 444,2823.0,7600 AA,Leek,010 4583775,1.0,7821 AK,Rotterdam,Besloten Vennootschap met gewone structuur,3992AG,VENRAY,5206.0,8300AJ,ROTTERDAM,NLD,0413 338338,,m,4221.0,119.0,,Ingenieurs en overig technisch ontwerp en advies,Loodgieters- en fitterswerk; installatie van sanitair,Uitleenbureaus,5-10-2007,22-1-2015,,1-1-1997
D-00199,,,7327 JZ,Stolwijk,,8.0,3503 RD,Burgum,Besloten Vennootschap met gewone structuur,5684PH,ARNHEM,413.0,5171PN,HEESCH,NLD,026  3397360,,m,4120.0,,6420.0,Projectontwikkeling,"Groothandel in verbrandingsmotoren, pompen en compressoren",,6-2-2012,8-1-1999,,28-6-2011
1002469,0348-554747,9007.0,3981 AZ,Heerlen,,94744.0,4300 JA,Tilburg,Besloten Vennootschap blijkens statuten structuurvennootschap,6826TN,VENLO,1.0,5004JC,NIEUWEGEIN,NLD,073  5436600,,m,4321.0,,4213.0,Vervaardiging van machines voor de productie van voedings- en genotmiddelen,Uitleenbureaus,,15-6-2007,,,1-9-1997
D-00203,0527 - 610765 (Ilse ma-wo-vr tot 14:00),88.0,3992 AE,Stadskanaal,,238.0,5700 EV,Deurne,Besloten Vennootschap met gewone structuur,3528BG,OLDENZAAL,87.0,1700AA,MAARSSEN,NLD,010  4106240,,m,33222.0,8130.0,,"Vervaardiging van meet-, regel-, navigatie- en controleapparatuur",Uitleenbureaus,Financiële holdings,7-4-2005,8-2-2001,,1-7-2014
K40500,023 - 5319549,2238.0,3980 CC,Harlingen,,3.0,8441 ER,Son,Besloten Vennootschap met gewone structuur,3356LJ,SAPPEMEER,22.0,5550GA,VENRAY,NLD,030  2486911,,m,4321.0,,,Leggen van elektriciteits- en telecommunicatiekabels,,,14-4-2009,27-7-1948,,1-4-1929
K60035,0485-586621,27.0,5060 GA,Oldenzaal,,27.0,3350 AA,Winterswijk,Besloten Vennootschap met gewone structuur,9351VA,HELMOND,10.0,7800AB,MAARSSEN,NLD,078  6201150,,,78201.0,,,"Vervaardiging van overige machines, apparaten en werktuigen voor specifieke doeleinden n.e.g.",Winkels in sportartikelen (geen watersport),Uitleenbureaus,26-4-2010,31-12-2012,12-9-1972,1-11-1971
K60560,0475 - 532451,70.0,5830 AC,Almere,0183 50 19 87,27.0,3481 MH,Breda,Besloten Vennootschap met gewone structuur,8051CP,STADSKANAAL,21.0,3900AR,ROTTERDAM,NLD,0493 494888,,,4120.0,,,"Leggen van rioleringen, buizen en pijpleidingen; aanleg van bronbemaling",Vervaardiging van metalen constructiewerken en delen daarvan,,8-6-2010,22-10-1982,,1-1-2005
K60734,,4185.0,3439 MR,Vianen Ut,,216.0,2501 CC,Amsterdam,Publiekrechtelijke rechtspersoon,3584AA,UTRECHT,20.0,3370AD,OOSTERHOUT NB,NLD,0493 496665,,,7112.0,78202.0,,Ingenieurs en overig technisch ontwerp en advies,,,4-2-2010,,22-10-1982,1-1923
1001652,038 444 80 60,7.0,2800 AV,Maarssen,,623.0,3421 BV,Boxmeer,Stichting,5652AX,OOSTERWOLDE,1.0,5803AP,HATTEM,NLD,078  6417222,,m,43221.0,4321.0,,Algemeen overheidsbestuur,,,2-5-2012,6-6-1984,,6-6-1984
D-00180,020 - 4606060,12.0,9288 AG,Leuvenheim,0343- 432695,40.0,1633 ZG,Apeldoorn,Besloten Vennootschap met gewone structuur,5466SB,HOUTEN,2.0,3009AN,DEURNE,NLD,,,,2893.0,6209.0,,Algemeen overheidsbestuur,,,15-1-2013,25-3-2003,29-6-2001,1-7-1840
D-00098,(hoofdkantoor) 0411622036,190.0,3350 AA,Zwolle,,35.0,5466 SB,Gennep,Besloten Vennootschap met gewone structuur,3995DW,BOXMEER,19.0,7460AA,SON EN BREUGEL,NLD,,,m,7112.0,78202.0,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",,,21-3-2012,18-10-1956,,11-7-2013
D-00157,,21523.0,6026 PX,Amersfoort,,3193.0,1090 GC,Tricht,Publiekrechtelijke rechtspersoon,2132LS,HENGELO OV,10.0,4824AH,BUNNIK,NLD,010  2897777,,,4110.0,4651.0,46739.0,Wegenbouw,,,27-4-2010,,28-5-1998,1-1-1994
D-00172,+31 512 582900,72.0,4131 NJ,Almere,,536.0,6190 AA,Drachten,Besloten Vennootschap met gewone structuur,5248JT,ROSMALEN,35.0,8013PZ,DUIVEN,NLD,070  4455555,,m,70221.0,43221.0,93211.0,Algemene burgerlijke en utiliteitsbouw,,,27-12-2012,,,17-11-1961
K60600,020 - 4079829,35.0,2153 GH,Tricht,,10.0,5600 CE,Rotterdam,Besloten Vennootschap met gewone structuur,3542DA,GOUDA,31.0,7570AC,ROSMALEN,NLD,088  3344000,,,70221.0,42111.0,4622.0,Vervaardiging van machines voor de productie van voedings- en genotmiddelen,Uitleenbureaus,Ingenieurs en overig technisch ontwerp en advies,14-4-2005,16-11-1983,,1-5-1992
1002235,073 - 65 80 680,31.0,8200 AB,Oldenzaal,,8.0,7630 AA,Barneveld,Besloten Vennootschap met gewone structuur,3313LC,ROTTERDAM,30.0,3600BA,ROERMOND,NLD,0475 532451,,,8411.0,4321.0,,Algemeen overheidsbestuur,Grondverzet,Leggen van elektriciteits- en telecommunicatiekabels,12-9-2012,1-5-2003,,1-9-2012
